T,T_R,N_days,M_candles,activations,skipped_trades,time_overrides_fired,state_recoveries,delta_wpnl_vs_baseline,wpnl_with_brake,max_cycles
7.5,5.0,45,21,3,2,3,0,8.49,97.256,1
7.5,6.0,45,21,3,2,3,0,8.49,97.256,1
7.5,3.75,45,21,3,2,3,0,8.49,97.256,1
7.5,2.5,45,21,3,2,3,0,8.49,97.256,1
7.0,6.0,30,21,3,2,3,0,8.49,97.256,1
7.5,3.5,45,21,3,2,3,0,8.49,97.256,1
7.0,3.75,30,21,3,2,3,0,8.49,97.256,1
7.0,5.0,30,21,3,2,3,0,8.49,97.256,1
7.0,3.5,30,21,3,2,3,0,8.49,97.256,1
7.0,2.5,30,21,3,2,3,0,8.49,97.256,1
7.5,3.75,21,21,2,1,2,0,5.406,94.172,1
7.5,3.75,30,21,3,1,3,0,5.406,94.172,1
7.5,2.5,30,21,3,1,3,0,5.406,94.172,1
7.5,2.5,21,21,2,1,2,0,5.406,94.172,1
7.5,3.5,21,21,2,1,2,0,5.406,94.172,1
7.5,3.5,30,21,3,1,3,0,5.406,94.172,1
7.0,6.0,21,21,2,1,2,0,5.406,94.172,1
7.0,3.75,21,21,2,1,2,0,5.406,94.172,1
7.0,3.5,21,21,2,1,2,0,5.406,94.172,1
7.0,2.5,21,21,2,1,2,0,5.406,94.172,1
7.5,6.0,21,21,2,1,2,0,5.406,94.172,1
7.5,6.0,30,21,3,1,3,0,5.406,94.172,1
7.5,5.0,21,21,2,1,2,0,5.406,94.172,1
7.5,5.0,30,21,3,1,3,0,5.406,94.172,1
7.0,5.0,21,21,2,1,2,0,5.406,94.172,1
7.0,6.0,45,21,4,3,4,0,5.378,94.144,2
7.0,3.5,45,21,4,3,4,0,5.378,94.144,2
7.0,2.5,45,21,4,3,4,0,5.378,94.144,2
7.0,3.75,45,21,4,3,4,0,5.378,94.144,2
7.0,5.0,45,21,4,3,4,0,5.378,94.144,2
15.0,3.5,21,90,0,0,0,0,0.0,88.766,0
15.0,5.0,21,90,0,0,0,0,0.0,88.766,0
15.0,6.0,21,42,0,0,0,0,0.0,88.766,0
15.0,6.0,21,63,0,0,0,0,0.0,88.766,0
15.0,2.5,21,21,0,0,0,0,0.0,88.766,0
15.0,5.0,21,42,0,0,0,0,0.0,88.766,0
15.0,3.5,21,63,0,0,0,0,0.0,88.766,0
15.0,5.0,21,63,0,0,0,0,0.0,88.766,0
15.0,3.5,21,21,0,0,0,0,0.0,88.766,0
15.0,3.5,21,42,0,0,0,0,0.0,88.766,0
15.0,3.75,21,90,0,0,0,0,0.0,88.766,0
15.0,3.75,21,63,0,0,0,0,0.0,88.766,0
15.0,3.75,21,42,0,0,0,0,0.0,88.766,0
15.0,3.75,21,21,0,0,0,0,0.0,88.766,0
15.0,2.5,21,42,0,0,0,0,0.0,88.766,0
15.0,2.5,21,63,0,0,0,0,0.0,88.766,0
15.0,2.5,21,90,0,0,0,0,0.0,88.766,0
15.0,5.0,21,21,0,0,0,0,0.0,88.766,0
15.0,6.0,21,90,0,0,0,0,0.0,88.766,0
15.0,7.5,21,21,0,0,0,0,0.0,88.766,0
15.0,7.5,21,42,0,0,0,0,0.0,88.766,0
15.0,7.5,21,90,0,0,0,0,0.0,88.766,0
15.0,6.0,21,21,0,0,0,0,0.0,88.766,0
15.0,7.5,21,63,0,0,0,0,0.0,88.766,0
6.0,3.75,30,21,6,5,6,0,-1.597,87.169,3
6.0,3.5,30,21,6,5,6,0,-1.597,87.169,3
6.0,2.5,30,21,6,5,6,0,-1.597,87.169,3
6.0,5.0,30,21,6,5,6,0,-1.597,87.169,3
5.0,2.5,30,21,9,8,9,0,-1.869,86.897,4
5.0,3.5,30,21,9,8,9,0,-1.869,86.897,4
5.0,3.75,30,21,9,8,9,0,-1.869,86.897,4
5.0,3.5,21,21,6,6,6,0,-3.119,85.647,4
5.0,3.75,21,21,6,6,6,0,-3.119,85.647,4
5.0,2.5,21,21,6,6,6,0,-3.119,85.647,4
6.0,5.0,45,21,12,12,12,0,-3.638,85.128,6
6.0,3.75,45,21,12,12,12,0,-3.638,85.128,6
6.0,2.5,45,21,12,12,12,0,-3.638,85.128,6
6.0,3.5,45,21,12,12,12,0,-3.638,85.128,6
