symbol,close_time,open_time,weighted_pnl,exit_reason,cum_wpnl_at_close,dd_30d_at_close,brake_state_before,brake_state_after,brake_fired,brake_off_reason
BCHUSDT,1643702399999,1643587199999,-0.447,no_confirm,-0.447,0.0,False,False,False,
BCHUSDT,1644508799999,1644479999999,0.0,stop_loss,-0.447,0.0,False,False,False,
TRXUSDT,1644767999999,1644652799999,-0.9289,no_confirm,-0.9289,0.0,False,False,False,
BCHUSDT,1645142399999,1644767999999,3.8216,take_profit,3.3746,0.0,False,False,False,
BCHUSDT,1645631999999,1645516799999,0.0,take_profit,3.3746,0.0,False,False,False,
BCHUSDT,1645833599999,1645775999999,-4.1211,stop_loss,-0.7465000000000002,4.1211,False,False,False,
TRXUSDT,1646121599999,1645833599999,-3.5392,stop_loss,-4.4681,3.5391999999999997,False,False,False,
TRXUSDT,1646812799999,1646351999999,-1.9219,stop_loss,-6.39,5.4611,False,False,False,
BCHUSDT,1648425599999,1648022399999,-2.8207,stop_loss,-3.5672,6.941800000000001,False,False,False,
TRXUSDT,1648598399999,1648540799999,0.0,take_profit,-6.39,5.4611,False,False,False,
BCHUSDT,1648655999999,1648569599999,0.0,stop_loss,-3.5672,6.941800000000001,False,False,False,
TRXUSDT,1649087999999,1648742399999,5.3125,take_profit,-1.0774999999999997,0.0,False,False,False,
BCHUSDT,1649231999999,1649030399999,4.2763,take_profit,0.7090999999999998,2.6655,False,False,False,
BCHUSDT,1649692799999,1649433599999,3.7943,take_profit,4.503399999999999,0.0,False,False,False,
BCHUSDT,1650585599999,1650326399999,2.3328,take_profit,6.8362,0.0,False,False,False,
TRXUSDT,1651507199999,1651478399999,6.8988,take_profit,5.8213,0.0,False,False,False,
BCHUSDT,1652227199999,1652198399999,0.0,stop_loss,6.8362,0.0,False,False,False,
BCHUSDT,1658649599999,1658591999999,-1.5834,stop_loss,5.2528,0.0,False,False,False,
BCHUSDT,1658966399999,1658793599999,-2.0109,stop_loss,3.2419,2.0109,False,False,False,
BCHUSDT,1659311999999,1659110399999,0.0,take_profit,3.2419,2.0109,False,False,False,
BCHUSDT,1660060800000,1659455999999,0.2069,timeout,3.4488,1.8039999999999998,False,False,False,
BCHUSDT,1661270399999,1661068799999,2.8723,take_profit,6.3210999999999995,0.0,False,False,False,
BCHUSDT,1661500799999,1661414399999,-1.7016,stop_loss,4.6194999999999995,1.7016,False,False,False,
BCHUSDT,1662249600000,1661644799999,0.0,timeout,4.6194999999999995,1.7016,False,False,False,
