feature,importance
max_dd_window_50,139.8
ret_skew_200,135.2
vwap_dev_50,129.6
ret_kurt_50,110.0
range_realized_vol_50,104.8
ema_spread_atr_20,98.2
volume_cv_50,95.6
ret_autocorr_lag1_50,92.4
sym_vs_btc_ret_7d,90.4
btc_ret_14d,87.2
ret_kurt_200,84.6
volume_mom_ratio_20,84.4
hurst_100,81.8
btc_vol_14d,62.6
mom_accel_20_100,62.4
obv_slope_50,61.8
ret_skew_100,60.6
ret_skew_50,53.8
parkinson_gk_ratio_20,52.6
hurst_diff_100_50,52.2
ret_autocorr_lag5_50,49.8
vwap_dev_20,49.6
fracdiff_logclose_dstat,49.4
hurst_200,25.8
bb_width_pct_rank_100,25.6
parkinson_vol_20,23.8
btc_ret_7d,23.4
atr_pct_rank_500,21.6
cusum_reset_count_200,20.8
atr_pct_rank_200,20.4
btc_ret_3d,16.8
mom_accel_5_20,15.4
hl_range_ratio_20,7.0
fracdiff_logvolume_dstat,2.8
