symbol,gated_hit_8h_only,gated_hit_8h_plus_ortho4,gated_hit_lift
BCHUSDT,0.4715,0.4663,-0.0052
LDOUSDT,0.4903,0.4595,-0.0307
TRXUSDT,0.4591,0.4515,-0.0076
POOLED,0.4528,0.489,0.0362
