symbol,n_rows,n_folds,auc_8h_only,auc_8h_plus_daily,auc_lift,per_fold_lift
BCHUSDT,5544,5,0.4983,0.4931,-0.0052,-0.029;-0.005;+0.014;+0.019;-0.006
LDOUSDT,2559,5,0.4801,0.5083,0.0281,+0.033;+0.001;+0.023;+0.050;+0.045
TRXUSDT,5487,5,0.4518,0.4657,0.0139,-0.009;-0.016;-0.016;+0.086;+0.042
POOLED,13590,5,0.4889,0.5015,0.0126,
