symbol,gated_hit_8h_only,gated_hit_8h_plus_daily,gated_hit_lift
BCHUSDT,0.4715,0.5,0.0285
LDOUSDT,0.4903,0.5097,0.0195
TRXUSDT,0.4591,0.4712,0.0121
POOLED,0.4528,0.4835,0.0306
