symbol,n_rows,auc_8h_only,auc_8h_plus_ortho4,auc_lift,lift_positive,per_fold_lift
BCHUSDT,5544,0.4983,0.4877,-0.0106,False,-0.022;-0.017;+0.017;-0.015;+0.006
LDOUSDT,2559,0.4801,0.4957,0.0156,True,+0.008;-0.010;+0.029;+0.075;+0.004
TRXUSDT,5487,0.4518,0.4483,-0.0035,False,+0.005;-0.025;-0.025;+0.025;+0.022
POOLED,13590,0.4889,0.4982,0.0093,True,
