iter,observed_trade_level,benchmark_candle_q75,dsr_observed,B1_benchmark_rescaled_to_trade,B1_dsr_relative,B2_observed_rescaled_to_candle,B2_dsr_relative,B3_both_per_obs,B3_observed_per_obs,B3_benchmark_per_obs,B4_annualized_both,B4_observed_ann,B4_benchmark_ann
028,0.543,0.0,0.0,0.0,1.0,1.9952,1.0,0.70807,0.055421,0.0,1.0,1.034,0.0
050,1.263,0.0,0.0,0.0,1.0,4.7146,1.0,0.892607,0.130962,0.0,1.0,2.4881,0.0
058,1.1046,0.8378,0.998164,0.2362,1.0,3.9182,1.0,0.812898,0.10884,0.023271,1.0,2.0759,0.6398
059,0.7046,0.8378,0.113363,0.2256,1.0,2.6162,1.0,0.686781,0.072672,0.023271,1.0,1.4359,0.6398
060,0.1873,0.8378,0.0,0.235,0.318374,0.6676,0.0,0.481086,0.018545,0.023271,2e-06,0.3659,0.6398
061,0.207,0.8378,0.0,0.235,0.390141,0.7379,0.000256,0.488893,0.020498,0.023271,3.7e-05,0.405,0.6398
