iter,n_trades_oos,trade_level_sharpe,per_obs_trade_sharpe,daily_sharpe_oos_annualized,daily_sharpe_per_obs,monthly_sharpe_oos_annualized,cpcv_q75_benchmark,scale_trade_vs_candle,trades_per_year_est
028,96,0.543,0.0554,1.034,0.0651,0.5053,0.0,0.1583,82.29
050,93,1.263,0.131,2.4881,0.1567,1.1659,0.0,0.1558,79.71
058,103,1.1046,0.1088,2.0759,0.1308,0.7826,0.8378,0.1639,88.29
059,94,0.7046,0.0727,1.4359,0.0905,0.5791,0.8378,0.1566,80.57
060,102,0.1873,0.0185,0.3659,0.023,0.1403,0.8378,0.1631,87.43
061,102,0.207,0.0205,0.405,0.0255,0.1551,0.8378,0.1631,87.43
