symbol,is_rows,is_first,is_last,long_label_frac,mean_tb_pnl
ADAUSDT,3476,2022-01-20,2025-03-23,0.4632,3.6229
AVAXUSDT,2769,2022-09-13,2025-03-23,0.4698,3.7478
FILUSDT,2700,2022-10-06,2025-03-23,0.4978,4.111
FTMUSDT,2556,2022-09-14,2025-01-12,0.5023,4.3865
BCHUSDT,3567,2021-12-21,2025-03-23,0.4558,3.5065
GALAUSDT,1689,2023-09-08,2025-03-23,0.4979,5.2028
EOSUSDT,3545,2021-12-28,2025-03-23,0.4787,3.4938
CRVUSDT,2835,2022-08-22,2025-03-23,0.4677,4.4595
AAVEUSDT,2700,2022-10-06,2025-03-23,0.5204,3.725
SANDUSDT,2397,2023-01-15,2025-03-23,0.4597,4.1645
ATOMUSDT,3455,2022-01-27,2025-03-23,0.4535,3.5799
LDOUSDT,581,2024-09-11,2025-03-23,0.537,5.4913
AXSUSDT,2595,2022-11-10,2025-03-23,0.4906,3.8766
TRXUSDT,3509,2022-01-04,2025-03-23,0.5526,2.1228
RUNEUSDT,2826,2022-08-25,2025-03-23,0.5067,4.2694
MANAUSDT,2250,2023-03-05,2025-03-23,0.4858,3.9462
ICPUSDT,2079,2023-05-01,2025-03-23,0.4839,4.0968
ALGOUSDT,3065,2022-06-06,2025-03-23,0.4643,3.944
GRTUSDT,2508,2022-12-09,2025-03-23,0.4884,4.2776
THETAUSDT,3125,2022-05-17,2025-03-23,0.4733,4.1007
VETUSDT,3419,2022-02-03,2025-03-23,0.463,3.762
HBARUSDT,2244,2023-03-07,2025-03-23,0.4759,3.9582
