symbol,feature,univariate_ic_full,ic_third_1,ic_third_2,ic_third_3,sign_consistent_across_thirds
LDOUSDT,max_dd_window_50,0.03666,-0.31442,0.08031,-0.11788,False
LDOUSDT,ema_spread_atr_20,-0.10021,-0.27423,-0.06857,-0.17967,True
LDOUSDT,ret_kurt_50,0.11727,0.28693,0.14981,-0.17485,False
LDOUSDT,ret_skew_200,0.00836,0.05269,0.05012,0.00343,True
LDOUSDT,range_realized_vol_50,-0.00578,0.07486,0.09857,0.05964,True
LDOUSDT,hurst_diff_100_50,0.23962,-0.04112,0.1677,0.46165,False
LDOUSDT,ret_kurt_200,0.16802,-0.02634,0.31899,0.05556,False
LDOUSDT,hurst_100,0.20284,0.10348,0.20105,0.1613,True
LDOUSDT,btc_ret_14d,0.08794,0.00208,-0.00149,0.12179,False
LDOUSDT,ret_skew_50,-0.05771,-0.08471,0.15912,-0.23681,False
LDOUSDT,vwap_dev_20,-0.0319,-0.13039,-0.04546,0.00306,False
LDOUSDT,ret_autocorr_lag1_50,0.09603,0.047,0.09726,0.12754,True
LDOUSDT,sym_vs_btc_ret_7d,-0.07354,-0.22628,0.03652,-0.09804,False
LDOUSDT,regime_momentum_signed_5d,-0.0644,-0.16431,-0.07844,-0.05704,True
GALAUSDT,max_dd_window_50,0.0709,0.17942,-0.01446,-0.0336,False
GALAUSDT,ema_spread_atr_20,0.00933,0.08593,-0.16345,-0.06375,False
GALAUSDT,ret_kurt_50,0.07308,-0.06785,0.19774,0.00549,False
GALAUSDT,ret_skew_200,-0.0059,-0.002,0.04885,-0.19679,False
GALAUSDT,range_realized_vol_50,-0.0073,-0.0963,0.16166,-0.05855,False
GALAUSDT,hurst_diff_100_50,0.04117,0.05398,-0.12444,0.19694,False
GALAUSDT,ret_kurt_200,0.11368,0.25718,0.10263,0.0423,True
GALAUSDT,hurst_100,0.04688,0.11838,-0.14905,0.18004,False
GALAUSDT,btc_ret_14d,0.04955,0.20277,-0.06628,-0.07123,False
GALAUSDT,ret_skew_50,0.00282,0.13513,-0.07774,-0.12127,False
GALAUSDT,vwap_dev_20,0.00616,0.02729,-0.09369,0.02727,False
GALAUSDT,ret_autocorr_lag1_50,-0.06168,-0.17368,0.05949,0.01623,False
GALAUSDT,sym_vs_btc_ret_7d,-0.01932,-0.08491,-0.17867,0.10953,False
GALAUSDT,regime_momentum_signed_5d,-0.00808,0.03385,-0.1387,0.00499,False
