symbol,within_cv_rank_ic,n_folds
LDOUSDT,0.17793,5
GALAUSDT,0.12703,5
AAVEUSDT,0.04786,5
EOSUSDT,0.04718,5
ADAUSDT,0.04261,5
THETAUSDT,0.03245,5
TRXUSDT,0.02907,5
BCHUSDT,0.02542,5
CRVUSDT,0.01842,5
ICPUSDT,0.01782,5
FILUSDT,-0.00058,5
RUNEUSDT,-0.01362,5
MANAUSDT,-0.01434,5
AXSUSDT,-0.02038,5
VETUSDT,-0.02933,5
GRTUSDT,-0.03151,5
ALGOUSDT,-0.03213,5
ATOMUSDT,-0.05394,5
AVAXUSDT,-0.06401,5
FTMUSDT,-0.06491,5
HBARUSDT,-0.08491,5
SANDUSDT,-0.1149,5
