symbol,cv_ic_seed42,cv_ic_seed7,cv_ic_seed99,cv_ic_seed2024,cv_ic_seed_mean,cv_ic_seed_std,all_seeds_above_thin_floor,all_seeds_below_thin_floor
LDOUSDT,0.17793,0.19935,0.14756,0.1608,0.17141,0.0194,True,False
GALAUSDT,0.12703,0.12755,0.15135,0.10627,0.12805,0.01596,True,False
AAVEUSDT,0.04786,0.0484,0.04937,0.05323,0.04972,0.0021,True,False
EOSUSDT,0.04718,0.03968,0.03921,0.03991,0.04149,0.00329,False,False
ADAUSDT,0.04261,0.04079,0.06299,0.06562,0.053,0.01136,True,False
BCHUSDT,0.02542,0.02565,0.01988,0.02979,0.02518,0.00352,False,True
TRXUSDT,0.02907,0.03544,0.0191,0.02681,0.02761,0.00584,False,True
