symbol,candidate,existing_feature,abs_ic_pearson,is_source_primitive
BCHUSDT,regime_momentum_signed_3d,max_dd_window_50,0.0508,False
BCHUSDT,regime_momentum_signed_3d,ema_spread_atr_20,0.1766,False
BCHUSDT,regime_momentum_signed_3d,ret_kurt_50,0.0239,False
BCHUSDT,regime_momentum_signed_3d,ret_skew_200,0.0571,False
BCHUSDT,regime_momentum_signed_3d,range_realized_vol_50,0.0155,False
BCHUSDT,regime_momentum_signed_3d,hurst_diff_100_50,0.0093,False
BCHUSDT,regime_momentum_signed_3d,ret_kurt_200,0.0579,False
BCHUSDT,regime_momentum_signed_3d,hurst_100,0.031,True
BCHUSDT,regime_momentum_signed_3d,btc_ret_14d,0.2063,False
BCHUSDT,regime_momentum_signed_3d,ret_skew_50,0.1294,False
BCHUSDT,regime_momentum_signed_3d,vwap_dev_20,0.6192,False
BCHUSDT,regime_momentum_signed_3d,ret_autocorr_lag1_50,0.0234,False
BCHUSDT,regime_momentum_signed_3d,sym_vs_btc_ret_7d,0.2992,False
BCHUSDT,regime_momentum_signed_3d,regime_momentum_signed_5d,0.4683,True
LDOUSDT,regime_momentum_signed_3d,max_dd_window_50,0.0336,False
LDOUSDT,regime_momentum_signed_3d,ema_spread_atr_20,0.1313,False
LDOUSDT,regime_momentum_signed_3d,ret_kurt_50,0.0312,False
LDOUSDT,regime_momentum_signed_3d,ret_skew_200,0.0598,False
LDOUSDT,regime_momentum_signed_3d,range_realized_vol_50,0.0267,False
LDOUSDT,regime_momentum_signed_3d,hurst_diff_100_50,0.0144,False
LDOUSDT,regime_momentum_signed_3d,ret_kurt_200,0.0056,False
LDOUSDT,regime_momentum_signed_3d,hurst_100,0.0213,True
LDOUSDT,regime_momentum_signed_3d,btc_ret_14d,0.1359,False
LDOUSDT,regime_momentum_signed_3d,ret_skew_50,0.1282,False
LDOUSDT,regime_momentum_signed_3d,vwap_dev_20,0.6139,False
LDOUSDT,regime_momentum_signed_3d,ret_autocorr_lag1_50,0.0502,False
LDOUSDT,regime_momentum_signed_3d,sym_vs_btc_ret_7d,0.338,False
LDOUSDT,regime_momentum_signed_3d,regime_momentum_signed_5d,0.4271,True
TRXUSDT,regime_momentum_signed_3d,max_dd_window_50,0.0396,False
TRXUSDT,regime_momentum_signed_3d,ema_spread_atr_20,0.1359,False
TRXUSDT,regime_momentum_signed_3d,ret_kurt_50,0.0054,False
TRXUSDT,regime_momentum_signed_3d,ret_skew_200,0.045,False
TRXUSDT,regime_momentum_signed_3d,range_realized_vol_50,0.0031,False
TRXUSDT,regime_momentum_signed_3d,hurst_diff_100_50,0.0012,False
TRXUSDT,regime_momentum_signed_3d,ret_kurt_200,0.012,False
TRXUSDT,regime_momentum_signed_3d,hurst_100,0.0064,True
TRXUSDT,regime_momentum_signed_3d,btc_ret_14d,0.1467,False
TRXUSDT,regime_momentum_signed_3d,ret_skew_50,0.1173,False
TRXUSDT,regime_momentum_signed_3d,vwap_dev_20,0.5181,False
TRXUSDT,regime_momentum_signed_3d,ret_autocorr_lag1_50,0.028,False
TRXUSDT,regime_momentum_signed_3d,sym_vs_btc_ret_7d,0.2246,False
TRXUSDT,regime_momentum_signed_3d,regime_momentum_signed_5d,0.4497,True
ALGOUSDT,regime_momentum_signed_3d,max_dd_window_50,0.0674,False
ALGOUSDT,regime_momentum_signed_3d,ema_spread_atr_20,0.1762,False
ALGOUSDT,regime_momentum_signed_3d,ret_kurt_50,0.0285,False
ALGOUSDT,regime_momentum_signed_3d,ret_skew_200,0.0542,False
ALGOUSDT,regime_momentum_signed_3d,range_realized_vol_50,0.0141,False
ALGOUSDT,regime_momentum_signed_3d,hurst_diff_100_50,0.025,False
ALGOUSDT,regime_momentum_signed_3d,ret_kurt_200,0.0035,False
ALGOUSDT,regime_momentum_signed_3d,hurst_100,0.0171,True
ALGOUSDT,regime_momentum_signed_3d,btc_ret_14d,0.1803,False
ALGOUSDT,regime_momentum_signed_3d,ret_skew_50,0.0839,False
ALGOUSDT,regime_momentum_signed_3d,vwap_dev_20,0.597,False
ALGOUSDT,regime_momentum_signed_3d,ret_autocorr_lag1_50,0.0082,False
ALGOUSDT,regime_momentum_signed_3d,sym_vs_btc_ret_7d,0.315,False
ALGOUSDT,regime_momentum_signed_3d,regime_momentum_signed_5d,0.4657,True
