iteration,n_is_algo,n_oos_algo,is_algo_pnl,oos_algo_pnl,is_sharpe_with_algo,is_sharpe_no_algo,is_sharpe_delta_no_algo,oos_sharpe_with_algo,oos_sharpe_no_algo,oos_sharpe_delta_no_algo
iter-v3/028 BASELINE (3-sym; no per-sym ATR; no primitive 10),0,0,0.0,0.0,0.5101,0.5101,0.0,0.5053,0.5053,0.0
iter-v3/045 (4-sym + per-sym ATR),48,21,2.469,53.1204,0.746,0.8244,0.0784,3.5259,1.6289,-1.897
iter-v3/050 seed=42 (4-sym + per-sym ATR + primitive 10),43,12,3.3858,27.3492,0.4872,0.8062,0.319,1.1659,0.5284,-0.6375
