symbol,data_years,n_bars,s5,s21,s50,min_sharpe,natr30_p50,reg_bull,reg_bear,reg_chop,chg21,verdict
ARBUSDT,2.0,2195,0.631,0.005,0.876,0.005,4.122,-1.6,-0.03,0.44,95,NONE
OPUSDT,2.81,3080,1.079,0.162,0.275,0.162,4.866,1.22,-1.36,0.11,152,NONE
SANDUSDT,4.16,4542,1.8,0.447,0.94,0.447,4.925,2.79,-0.81,-0.21,262,LOW
MANAUSDT,4.02,4395,0.263,0.673,0.81,0.263,4.4,2.27,-0.98,0.56,242,LOW
