bucket,set,n,mean_trade_fwd_bps
|z|<1.0,AGREE,562,5.04
|z|<1.0,DISAGREE,570,24.42
1.0-1.5,AGREE,134,-54.82
1.0-1.5,DISAGREE,320,14.4
1.5-2.0,AGREE,118,-7.44
1.5-2.0,DISAGREE,147,10.46
2.0-2.5,AGREE,62,31.14
2.0-2.5,DISAGREE,40,-4.09
|z|>=2.5,AGREE,26,-46.1
|z|>=2.5,DISAGREE,20,-12.69
