symbol,data_years,n_bars,s5,s21,s50,min_sharpe,natr30_p50,reg_bull,reg_bear,reg_chop,chg21,verdict
ALGOUSDT,4.77,5225,0.242,0.402,0.735,0.242,4.667,2.14,-0.95,0.11,294,LOW
ETCUSDT,5.18,5681,0.865,0.35,0.513,0.35,4.171,2.1,-0.5,-0.15,305,LOW
FTMUSDT,4.49,4911,0.676,1.254,0.765,0.676,5.845,3.56,-0.52,0.47,205,LOW
EGLDUSDT,4.52,4956,0.619,0.749,0.961,0.619,4.494,2.17,0.61,0.25,240,LOW
