symbol,n_m1_fired_bars,n_tp_hits,best_abs_auc_minus_0.5,mean_abs_auc_minus_0.5,verdict
BCHUSDT,73,33,0.1038,0.0406,NEAR-ZERO-SIGNAL
LDOUSDT,11,3,,,INSUFFICIENT
TRXUSDT,75,22,0.2144,0.0768,RESIDUAL-SIGNAL
PORTFOLIO,159,58,0.1222,0.0577,RESIDUAL-SIGNAL
