period,start,long_model_n,long_model_sharpe,long_model_wr,always_long_sharpe,full_model_sharpe
P0,2021-01-04,427,0.345,0.494,0.123,0.698
P1,2021-07-05,370,2.143,0.543,1.01,2.597
P2,2022-01-04,301,-0.952,0.395,-1.97,0.494
P3,2022-07-05,293,-0.889,0.365,-0.827,-0.655
P4,2023-01-04,291,1.312,0.457,1.67,0.782
P5,2023-07-05,336,1.597,0.521,1.367,0.391
P6,2024-01-04,214,1.712,0.491,0.773,1.121
P7,2024-07-04,248,0.918,0.492,1.694,-0.554
P8,2025-01-03,69,-0.757,0.377,-1.963,-0.126
