config,full_n,full_sharpe_ann,long_n,long_sharpe_ann,long_wr,sp_n,sp_frac_pos,sp_mean,sp_dispersion,sp_worst
roll_180d,5166,1.702,2841,2.296,0.475,10,0.6,0.604,1.685,-1.904
roll_365d,4611,1.198,2653,1.323,0.456,9,0.667,0.314,1.269,-1.896
roll_545d,4071,1.823,2332,1.857,0.452,8,0.625,0.533,1.419,-1.702
roll_730d,3516,-0.253,1854,0.491,0.435,7,0.571,0.163,1.251,-1.362
expanding,4611,1.87,2549,1.957,0.47,9,0.667,0.603,1.212,-0.952
