family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,0.012210,0.012210,0.009813,0.014607,2,2
calendar,interaction,-0.002997,-0.002997,nan,nan,2,6
calendar,mean_reversion,-0.015917,-0.015917,nan,nan,2,26
calendar,momentum,0.021878,0.021878,nan,nan,2,36
calendar,statistical,0.031270,0.031270,nan,nan,2,24
calendar,trend,0.002820,0.002820,nan,nan,2,39
calendar,volatility,0.008589,0.008589,nan,nan,2,40
calendar,volume,-0.012687,-0.012687,nan,nan,2,20
interaction,interaction,-0.012604,-0.025119,-0.027201,0.005619,6,6
interaction,mean_reversion,0.142961,0.142961,nan,nan,6,26
interaction,momentum,0.124000,0.124000,nan,nan,6,36
interaction,statistical,0.108254,0.108254,nan,nan,6,24
interaction,trend,0.077392,0.077392,nan,nan,6,39
interaction,volatility,0.771297,0.771297,nan,nan,6,40
interaction,volume,0.012054,0.012054,nan,nan,6,20
mean_reversion,mean_reversion,0.000855,-0.015145,-0.020036,0.013736,26,26
mean_reversion,momentum,0.451669,0.451669,nan,nan,26,36
mean_reversion,statistical,0.090329,0.090329,nan,nan,26,24
mean_reversion,trend,0.278169,0.278169,nan,nan,26,39
mean_reversion,volatility,0.105893,0.105893,nan,nan,26,40
mean_reversion,volume,0.363309,0.363309,nan,nan,26,20
momentum,momentum,-0.020575,-0.019576,-0.024025,-0.016716,36,36
momentum,statistical,0.116705,0.116705,nan,nan,36,24
momentum,trend,0.716651,0.716651,nan,nan,36,39
momentum,volatility,0.020714,0.020714,nan,nan,36,40
momentum,volume,0.787072,0.787072,nan,nan,36,20
statistical,statistical,-0.006768,-0.009831,-0.013573,0.009036,24,24
statistical,trend,0.147859,0.147859,nan,nan,24,39
statistical,volatility,0.111477,0.111477,nan,nan,24,40
statistical,volume,0.119426,0.119426,nan,nan,24,20
trend,trend,-0.004460,-0.001681,-0.020631,0.007824,39,39
trend,volatility,0.104793,0.104793,nan,nan,39,40
trend,volume,0.729445,0.729445,nan,nan,39,20
volatility,volatility,0.007317,0.010937,-0.001926,0.020654,40,40
volatility,volume,0.003482,0.003482,nan,nan,40,20
volume,volume,-0.005314,-0.008256,-0.023000,0.009431,20,20
