metric,in_sample,out_of_sample,ratio
sharpe,0.2464,-1.6065,-6.5210
sortino,0.2581,-1.0676,-4.1364
max_drawdown,14.74%,22.60%,1.5332
win_rate,43.4%,38.8%,0.8937
profit_factor,1.0943,0.6018,0.5499
total_trades,242,98,0.4050
calmar_ratio,0.7519,0.8277,1.1008
dsr,-100.6972,-20.0633,0.1992
total_net_pnl,11.0835,-18.7064,-1.6878
specialist_dispersion_mean,43.868826432107284,,
psr_monthly_vs_0,0.675795,0.032905,0.0487
psr_monthly_vs_1,0.110254,0.000245,0.0022
psr_daily_vs_0,0.675678,0.035708,0.0528
n_effective_trials,11,11,1.0000
n_eff_per_cell_median,11,11,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
trend_scale_fire_rate_is,0.562500,0.395833,0.7037
trend_scale_fire_rate_oos,0.562500,0.395833,0.7037
trend_scale_avg_long_mult_is,0.625458,0.721419,1.1534
trend_scale_avg_long_mult_oos,0.625458,0.721419,1.1534
