sample,stat,value
in_sample,n_trades,11
in_sample,duration_min,1
in_sample,duration_max,20
in_sample,duration_mean,4.91
in_sample,duration_median,3.0
in_sample,duration_p25,2.00
in_sample,duration_p75,5.50
in_sample,n_TP,3
in_sample,n_SL,8
in_sample,n_TIMEOUT,0
in_sample,n_EOD,0
in_sample,avg_TP_duration,4.33
in_sample,avg_SL_duration,5.12
out_of_sample,n_trades,11
out_of_sample,duration_min,1
out_of_sample,duration_max,20
out_of_sample,duration_mean,7.36
out_of_sample,duration_median,4.0
out_of_sample,duration_p25,2.50
out_of_sample,duration_p75,10.50
out_of_sample,n_TP,2
out_of_sample,n_SL,9
out_of_sample,n_TIMEOUT,0
out_of_sample,n_EOD,0
out_of_sample,avg_TP_duration,11.00
out_of_sample,avg_SL_duration,6.56
