iter,btc_is_trades,btc_is_wr,btc_is_net_pnl_pct,btc_is_avg_pnl,btc_oos_trades,btc_oos_wr,btc_oos_net_pnl_pct,btc_oos_avg_pnl
baseline,113,33.6,-37.2760,-0.3299,35,45.7,33.1700,0.9477
014,120,37.5,-24.2492,-0.2021,41,43.9,5.6977,0.1390
015,114,39.5,-0.6460,-0.0057,44,29.5,-7.1795,-0.1632
016,131,38.2,-34.6039,-0.2642,61,34.4,-8.3072,-0.1362
017,129,31.0,-93.8107,-0.7272,52,36.5,15.1148,0.2907
