sample_half,n_months,net_pnl_sum,n_pos_months,n_neg_months,worst_month,best_month,mean_monthly_pnl
IS_H1,15,-36.01,5,10,-18.88,+21.57,-2.4004
IS_H2,16,-1.27,8,8,-5.89,+9.59,-0.0794
OOS_full,11,+33.17,6,5,-12.63,+21.59,+3.0154
