sample,month,n_trades,n_wins,net_pnl_pct,avg_pnl_pct
IS,2022-01,2,1,0.1570,0.0785
IS,2022-02,8,4,21.5732,2.6966
IS,2022-03,3,1,-5.4670,-1.8223
IS,2022-04,4,2,8.4361,2.1090
IS,2022-05,2,1,3.9546,1.9773
IS,2022-06,6,2,-7.0661,-1.1777
IS,2022-07,4,2,5.4086,1.3521
IS,2022-08,5,0,-13.8024,-2.7605
IS,2022-09,5,2,-11.6783,-2.3357
IS,2022-10,3,1,-0.8218,-0.2739
IS,2022-11,2,1,-2.6876,-1.3438
IS,2022-12,3,1,-1.5200,-0.5067
IS,2023-01,8,0,-18.8783,-2.3598
IS,2023-02,1,0,-3.3052,-3.3052
IS,2023-03,4,0,-10.3085,-2.5771
IS,2023-04,7,2,-3.2520,-0.4646
IS,2023-05,2,1,1.6656,0.8328
IS,2023-06,5,2,-1.3813,-0.2763
IS,2023-07,3,2,0.1428,0.0476
IS,2023-08,1,0,-1.9949,-1.9949
IS,2023-09,4,1,-3.5740,-0.8935
IS,2023-11,2,0,-5.6036,-2.8018
IS,2024-01,3,2,4.9654,1.6551
IS,2024-02,2,2,9.5926,4.7963
IS,2024-04,1,0,-3.1614,-3.1614
IS,2024-05,4,2,7.7652,1.9413
IS,2024-06,3,1,0.0682,0.0227
IS,2024-07,5,2,0.0642,0.0128
IS,2024-10,6,2,-1.6278,-0.2713
IS,2024-12,2,0,-5.8922,-2.9461
IS,2025-01,3,1,0.9532,0.3177
OOS,2025-04,4,0,-12.6265,-3.1566
OOS,2025-05,4,1,-2.0712,-0.5178
OOS,2025-06,4,2,3.0863,0.7716
OOS,2025-08,1,1,0.9630,0.9630
OOS,2025-09,1,0,-1.7841,-1.7841
OOS,2025-11,5,4,21.5892,4.3178
OOS,2026-01,2,1,1.9713,0.9856
OOS,2026-02,4,1,-0.1488,-0.0372
OOS,2026-03,4,3,13.2501,3.3125
OOS,2026-04,2,2,9.5207,4.7603
OOS,2026-05,4,1,-0.5801,-0.1450
