label,is_net_sh,is_net_total,is_maxdd,is_fund_sh,is_fund_t,is_long_price,is_short_price,is_long_fund,is_short_fund,is_turnover,n_is
H. beta-hedge h=0.05,1.3883277874273572,2.6281632741061207,-0.2430607262880483,4.7241229621056435,10.824325533064057,3.127285191777473,-0.5270164052633024,0.32103495318028563,0.9303549035451566,0.311032550575139,5727
H. beta-hedge h=0.1,1.3855871103408859,2.68865441276912,-0.2690849208122553,4.702279782676533,10.774276521487856,3.1639298022260163,-0.5189810110110177,0.3250618093933228,0.91897034931991,0.31109096831886013,5727
"BASELINE (sym legs, eq-weight)",1.3784520513686123,2.5676721354431224,-0.21716224274841067,4.727208447395988,10.831395268013395,3.09064058132893,-0.5350517995155866,0.3170080969672483,0.9417394577704034,0.31097413283141795,5727
H. beta-hedge h=0.15,1.372024245732488,2.749145551432118,-0.2945699196180567,4.660197369221617,10.677853598946065,3.20057441267456,-0.5109456167587331,0.32908866560636013,0.9075857950946633,0.3111493860625812,5727
H. beta-hedge h=0.2,1.3498729939290577,2.8096366900951173,-0.3195101137774693,4.597047160617076,10.533158293404785,3.237219023123103,-0.5029102225064482,0.3331155218193974,0.8962012408694167,0.31120780380630225,5727
F. asym long=0.2 short=0.35,1.2841039902392362,2.7420236946740064,-0.2417232810743134,4.702906013854722,10.775711397376153,3.298072547277563,-0.8145963761404033,0.5103026417801576,0.8926848084319167,0.28547480023827687,5727
F. asym long=0.25 short=0.35,1.236680621450599,2.209128525032154,-0.20230259594909072,4.727107106641543,10.83116306717428,3.09064058132893,-0.9934759013758855,0.3170080969672483,0.9030969784319166,0.2764202724737596,5727
F. asym long=0.25 short=0.4,1.0622766797685008,1.8685717088912581,-0.26850661981088375,4.722474074368875,10.820547456630942,3.09064058132893,-1.37069441977369,0.3170080969672483,0.8844332236536924,0.26261961467857065,5727
G. short inv-vol win=30,0.9396461399773982,2.176279264037168,-0.6282142046097666,4.772226952817109,10.934545622396428,3.135679098014784,-0.9825922181530355,0.33950356747260346,0.9549878246517782,0.3171191618521197,5727
G. short inv-vol win=60,0.9181529570347172,2.2949263425137634,-0.6536195410402126,4.753245381657464,10.891053379072297,3.085919628865657,-0.9518126864805411,0.33557092431724767,0.9656510862576363,0.28446771195246484,5727
