label,is_net_sh,is_net_total,is_maxdd,is_fund_sh,is_fund_t,is_long_price,is_short_price,is_long_fund,is_short_fund,is_turnover,n_is
BASELINE (rank=raw funding),1.3784520513686123,2.5676721354431224,-0.21716224274841067,4.727208447395988,10.831395268013395,3.09064058132893,-0.5350517995155866,0.3170080969672483,0.9417394577704034,0.31097413283141795,5727
D. taker-guard win=9 drop>q90,1.3784520513686123,2.5676721354431224,-0.21716224274841067,4.727208447395988,10.831395268013395,3.09064058132893,-0.5350517995155866,0.3170080969672483,0.9417394577704034,0.31097413283141795,5727
D. taker-guard win=9 drop>q80,1.3784520513686123,2.5676721354431224,-0.21716224274841067,4.727208447395988,10.831395268013395,3.09064058132893,-0.5350517995155866,0.3170080969672483,0.9417394577704034,0.31097413283141795,5727
B. funding-persistence rank (win=90),1.3708865140573316,2.549860584938044,-0.2270240306482555,4.7468155096213644,10.876320691415144,3.197540053457516,-0.8450188392975936,0.3128895255662991,0.9424977498642639,0.26392474360858115,5727
C. mom-guard win=9 drop>q90,1.050442118941694,1.5008461642932094,-0.22390014673395653,4.7706537867535195,10.93094104611286,2.686974911745319,-0.8613620128204472,0.3247874769672483,0.9267308330260609,0.39319639916809396,5727
E. mom soft re-rank keep=0.75,0.893225775450249,1.4399116829341532,-0.3339254792119637,4.791002349137364,10.97756545981661,3.09064058132893,-1.106901647836064,0.3170080969672483,0.9391676919209161,0.44900173101022156,5727
C. mom-guard win=9 drop>q80,0.7315243500304153,1.0061375484687698,-0.3812534957616962,4.783659820101943,10.960741612267995,2.926747555911771,-1.3676569271648784,0.3270936919672483,0.9181172995801359,0.4485430097596615,5727
C. mom-guard win=3 drop>q90,0.6242742073900075,1.0275532420973914,-0.4733209123651103,4.776718820725342,10.944837784747037,3.09064058132893,-1.5551769053188345,0.3170080969672483,0.9438117580190022,0.44120090022174524,5727
E. mom soft re-rank keep=0.6,0.4667177096123922,0.8036039919093199,-0.4969756177184702,4.795278282278831,10.987362853460283,3.09064058132893,-1.4260662795814945,0.3170080969672483,0.9379243581003178,0.5278013332599171,5727
A. funding-Z rank (z_win=90),0.24892435944853336,0.3586552500076553,-0.5771249949086046,4.306448215475764,9.867312461912595,2.3421710407868765,-1.0821361549265696,-0.036343027032589126,0.69723152652943,0.38969995144540726,5727
