score,hold,dg,sh1,sh2,worst,med,dd2,turn,edge,tr,vol,L,S,G,h1,h2
s_2_30,6,0.2,0.2849675878993321,-0.6074454313847494,-1.659033631059586,-0.6358634401014234,0.3441635029848983,139.5098400594065,9.900616071800483,26968,0.11728598710286031,0.5082494243324839,0.03856762003547706,-41.607887583914206,0.7697529339195166,-0.25910754607775255
s_2_30,6,0.35,0.44590348368121246,-0.40738264086035153,-1.46584057446359,-0.4740125542416626,0.2950270105780234,132.6690302864949,11.43229448443497,23036,0.1166916053938272,0.7279255066639343,-0.12747399802736792,-38.47596288817553,1.094207220875171,-0.2724400476304749
s_2_30,6,0.5,0.528572428244924,-0.2798630741100977,-1.3610016042905817,-0.33790216486620517,0.29279328493423495,125.05670411763374,12.418999333796659,19109,0.11605514894536546,0.5983658005751185,0.016483332521798226,-34.95125899284531,1.180971165207447,-0.19107690795888513
s_2_30,9,0.2,0.20169860943076687,-0.5446136819037539,-1.4770798829847283,-0.5563671691370886,0.3072059941000813,115.75377676212754,9.515774715873942,34228,0.11633602974558205,0.46366723314788694,-0.027599146613624892,-39.98513302626829,0.6526301017598226,-0.29880023702352715
s_2_30,9,0.35,0.3338992540610135,-0.39613159023660766,-1.0795080103371726,-0.5676177870787494,0.2793375985705495,112.33671422785528,10.932436809187793,29648,0.11542314627459473,0.6115237294660547,-0.1253251615643855,-35.891161640622684,0.8494771994608059,-0.23406435048197285
s_2_30,9,0.5,0.6800581736211134,-0.021853382344758938,-0.8656281818843787,-0.2671837422507271,0.244554720266283,107.15851497553265,14.782813325569252,24950,0.11453430909590638,0.6308196092946634,-0.003687897809538501,-26.057593787828836,1.1938959058608294,0.11993497699657889
s_2_30,12,0.2,0.41224678157131506,-0.24338864534324003,-0.7522981827922842,-0.3088756305440288,0.2671155057891116,100.88680560426259,12.21234995234201,40429,0.11539369878874867,0.6017177114465022,-0.11395500192293874,-29.24148917941379,0.838381751867226,-0.03523014329124209
s_2_30,12,0.35,0.6090694657987163,-0.0387591040336699,-0.8942296633740521,0.1324126129239495,0.23529331617012883,98.06662731438219,14.568078479389197,35390,0.11355127192313974,0.6094385904180792,-0.04385279408204425,-20.972582826851216,0.9747286090827809,0.2228334232284056
s_2_30,12,0.5,0.9046871875196236,0.2853767362824303,-0.7597294961015085,0.44732773721901725,0.2067011477195172,94.30290432015025,18.476822129360478,30186,0.1142630999756989,0.5812754320340598,0.10853114185387717,-3.8150097135491685,1.1542917768017011,0.6446633375776814
s_2_30,15,0.2,0.2721247672349333,-0.31388445213301996,-0.8897458108223876,-0.35387335562280997,0.29554855845162664,90.60511759848735,10.976616540657252,45745,0.11599804434692278,0.49663886507461535,-0.1029109530301931,-32.54668384034704,0.5965606354132343,-0.08390124631649232
s_2_30,15,0.35,0.3240775682346457,-0.24474130778442355,-1.0267690408439347,-0.19615381470184384,0.287111580679122,87.86150216431123,11.770602649222816,40423,0.11588757342655029,0.4738541879221967,-0.06443112229145434,-30.557626530979267,0.7389321036047739,-0.13098723881597746
s_2_30,15,0.5,0.5455111239620039,0.0004117714140617485,-1.2591032159586941,0.0945165842791177,0.25272581936010974,85.24215348964064,15.000212799841535,34913,0.1173019519067456,0.4399913864063967,0.06621406249488297,-24.549867699111154,0.9589911328233619,0.1113779408548597
s_2_30,18,0.2,0.17736442505724334,-0.36841023709050785,-0.8407349952924017,-0.4343252902074169,0.29961376783509297,83.81128393760356,9.949673907663266,50330,0.1152164282288323,0.5259647410870111,-0.19583372862955856,-33.4187542667968,0.5218449328430889,-0.2084518804468649
s_2_30,18,0.35,0.15022378782437137,-0.3791739815946131,-1.2706683344772363,-0.3883416892238112,0.30531005496389974,81.68493821830593,9.637069620387892,44879,0.11579654910569771,0.5320521581878743,-0.22040586618506128,-36.89234872636203,0.6920982559534178,-0.44899956404779456
s_2_30,18,0.5,0.2896092884694061,-0.2188534421919464,-1.5226406775371897,-0.22867281387609306,0.28384223315981694,78.88039769727017,11.786721110881212,39204,0.11635997505370976,0.4858770785550516,-0.11780143349281642,-35.05542339625927,0.7884880644295156,-0.2531937572174276
s_2_30,24,0.2,-0.25566426813628346,-0.7167903292685566,-2.2104126686261854,-0.5604914780540898,0.4049543853042261,72.99146800197917,3.302607593740843,57864,0.11876738834647474,0.33624667972202266,-0.24081247560014513,-46.53632806931031,0.46482557534406455,-1.1004859437388412
s_2_30,24,0.35,-0.31559561868243374,-0.7630320055053745,-2.4108482892470637,-0.6739779475415496,0.4289892960975129,71.4420247534905,2.1547809442023307,52491,0.1198019652955712,0.3373791769147772,-0.2764350494940632,-48.37720808635682,0.5459124835073108,-1.3032418411406883
s_2_30,24,0.5,-0.1861739212686588,-0.6121444692780509,-2.640671736173774,-0.25720879710185196,0.4133244355551311,69.67790101953129,4.139668898263016,46607,0.12262024386032803,0.31751994113007004,-0.20332794923030847,-45.500026710358405,0.4571414271663648,-0.9276389995994256
blend_kl,6,0.2,0.25492602235810313,-0.6464987983671944,-1.6036223836335612,-0.6861386063129553,0.3344250992536232,139.78191337966683,9.62968888333804,27007,0.1162618522767461,0.4955289815144747,0.03736181505835649,-43.154178757599404,0.7390464634290179,-0.28001040600795185
blend_kl,6,0.35,0.43578965252162766,-0.4206450549047715,-1.2019179612748196,-0.4727196985206281,0.28082845849817306,132.04529473789358,11.334119717933726,23028,0.11567823526674104,0.7074023393495232,-0.11490594940637437,-35.40084656855963,1.052333677474582,-0.22856865516178135
blend_kl,6,0.5,0.4948902911373499,-0.294478984116573,-1.410889217706604,-0.2408983070179688,0.2861635100355844,122.4943219231021,12.21599206487006,19115,0.11642884616895391,0.6130856000147079,-0.02067928073987313,-34.133553508773026,1.2434492400012382,-0.3105155409940803
blend_kl,9,0.2,0.21289303854264915,-0.5466881868749751,-1.0263049498293548,-0.7849202319435534,0.33015622590157023,117.48387644915462,9.590798833621974,34325,0.11598229498655871,0.4476874169461522,-0.0016122647708307208,-39.11442894686716,0.5116566103814754,-0.1149297351427406
blend_kl,9,0.35,0.4673338815572957,-0.264573576872777,-1.1796300248007712,-0.24189199319499352,0.27989957560145495,111.62768005802513,12.294429943309506,29649,0.11438171704728281,0.5497937580732115,-0.006474275815699079,-33.349892439334695,0.8739114662748994,0.023371687461141575
