ks,kl,mh,dec,sh1,sh2,worst,medf,dd2,turn,edge,tr,L,S,G,h1,h2
2,30,9,0.0,-0.22876258624328358,-0.6839113236210626,-2.528711983293944,-0.30814892975812547,0.31832331993938057,72.02568062849409,3.76402372496587,2271,0.2344120804030366,-0.12708366789601896,-42.71039678918387,0.13431246907568165,-0.6385852059929402
2,30,9,0.3,0.3564128740306624,-0.3784127336455449,-1.855013818234273,-0.33928149609390323,0.3288008633797219,118.69863274561332,11.186980466163067,3515,0.42657956538463493,0.09911511080836796,-38.53012005618755,1.0421020597686326,-0.3893274460776654
2,30,9,0.5,0.1258134312272752,-0.7412967653806247,-2.1721243608983705,-0.7068061271263368,0.37108258214259215,144.36430562585562,8.61836679760203,4354,0.49089355353649694,0.0016671746654367478,-45.32114912565576,0.6987828867834148,-0.49777482725800726
2,30,9,0.7,0.3024169810108261,-0.7174572682550439,-2.6240790735222856,-0.5695821349470584,0.40259547649217453,177.38000480755025,9.721392908326772,5451,0.5170123345903624,0.16565345762273387,-47.37349457770572,0.9225006592003208,-0.3816403643328922
2,30,12,0.0,-0.21223036050860306,-0.6408766991627114,-1.8390180279783834,-0.5835014870826514,0.32018702080829,67.73486533511343,3.7654614336161925,2112,0.2619357863493796,-0.16096274020591295,-42.223623884367676,0.30658354883325867,-0.8085546580740048
2,30,12,0.3,0.3621938794684215,-0.3714128617066392,-1.485564328010758,-0.3324124729091191,0.2923638937086511,115.55153267315522,11.253567889455768,3407,0.491195192448611,0.023607640573385283,-33.84184567795714,0.8193373423062756,-0.11760498450793734
2,30,12,0.5,0.1943172298766411,-0.6715122392713875,-1.659583243526112,-0.8765287411243272,0.348491705778872,143.84104459513608,9.217794708330528,4315,0.47904658897424696,0.04586340622592652,-43.17711065481484,0.5903773679202549,-0.25019942341623164
2,30,12,0.7,0.32056199163448873,-0.7058539918605928,-2.4007272840949163,-0.5926838246206813,0.39681275798882176,176.99843253462728,9.845138079285174,5413,0.5119374170500164,0.17793092315109224,-46.724857096289725,0.8319777641455566,-0.24714421443040552
2,30,15,0.0,-0.27200176302834145,-0.6790872247425431,-1.8196495564951802,-0.481708931876802,0.29861434421863353,65.7357781014482,2.437417428065684,1985,0.2944860309808566,-0.23105427959117525,-41.37702212250008,-0.13183549106228304,-0.4327592946233474
2,30,15,0.3,0.37336172753616376,-0.35589639429353437,-1.4408744476868123,-0.33046044075023134,0.29786088184774706,114.8678163972126,11.394756190267396,3378,0.4769015436041301,0.04127575804640399,-33.75291530290454,0.8343525269604588,-0.10934936455458599
2,30,15,0.5,0.21521262324280052,-0.6494529864213621,-1.4420976399799936,-0.928211396762262,0.34161852237366497,143.78900794392504,9.39952051225747,4297,0.48335000483532403,0.05171478126899899,-40.96219832600081,0.5446760184837711,-0.1538593615682966
2,30,15,0.7,0.3183694289003412,-0.7071146923173619,-2.400727284094916,-0.5872101235662924,0.3972097723533594,176.84264004723244,9.831246190480421,5404,0.5102642079206079,0.17802434076376042,-46.7033112074591,0.8278016041245307,-0.2471442144304128
2,30,18,0.0,-0.2747672325735971,-0.6691501751687647,-1.962621392806438,-0.5848218331737691,0.3032142141960539,64.29801313532847,2.2014561177445224,1951,0.296351450509229,-0.24031345802355156,-41.52223864256692,-0.2573422310945236,-0.2976241661384031
2,30,18,0.3,0.36770453745903536,-0.36006187315341276,-1.4292521297223215,-0.267547373426279,0.294439183419268,114.59294535839408,11.344861530744492,3369,0.47977629363086577,0.034897510718370495,-32.97856274845199,0.8045124825754416,-0.08969709343318813
2,30,18,0.5,0.2295155497924399,-0.6343843621840554,-1.4420976399799823,-0.9143531619895686,0.3386205809423991,143.60019060130412,9.52576021185606,4286,0.4837313386539474,0.05780754327887638,-40.77699739328687,0.5598084669996849,-0.14015000202396008
2,30,18,0.7,0.3183694289003412,-0.7071146923173619,-2.400727284094916,-0.5872101235662924,0.3972097723533594,176.84264004723244,9.831246190480421,5404,0.5102642079206079,0.17802434076376042,-46.7033112074591,0.8278016041245307,-0.2471442144304128
2,30,24,0.0,-0.1079598404544275,-0.5014410571700225,-2.0029555028442863,-0.25153113004547134,0.25499548176653986,62.96587580663019,5.3764346538688255,1905,0.32555231928607953,-0.19153077966181575,-36.19004101700173,0.08969904221973801,-0.33541746171434195
2,30,24,0.3,0.362778309686124,-0.36481858356899205,-1.429252129722331,-0.27660924850335084,0.2964407974080707,114.56373845840011,11.295032678030731,3369,0.46615425364840285,0.04612840116782124,-33.16784750717683,0.8070733491671703,-0.1025353610121404
