measure,ic3,t3,ic9,t9,ic21,t21,ic45,t45
fund_level_3,-0.030579393341402993,-4.693514397299458,-0.03866633087725312,-6.045029444758636,-0.03547214900652721,-5.325161212757192,-0.05153739395865927,-7.919970302230703
basis_level_3,-0.00709393241425516,-1.0911662709599517,0.0005184756298762416,0.08150765256950265,0.003179108158003722,0.5009191643222307,0.005262856604414474,0.8304049764698715
fund_level_6,-0.032102068321036875,-4.9143989968976065,-0.03865398162125553,-5.913367729758216,-0.03953178705431362,-5.824372514566792,-0.05682447759550198,-8.574027894143578
basis_level_6,-0.0069370500497375346,-1.0701021707857055,0.004851293844965549,0.760580978328351,0.006330897594180395,0.9894288619751918,0.011244674784988846,1.7385211546325798
fund_level_9,-0.03386040756038444,-5.148444922065313,-0.03903584338505017,-5.963073407434179,-0.043280072918689204,-6.344515580180232,-0.06057655437151351,-9.04105499435971
basis_level_9,0.0003885024351907705,0.06017542208283018,0.006418960807859955,0.997731372472968,0.004701436187590418,0.7418977962097262,0.013818545509424289,2.1282588064499532
fund_level_15,-0.03471447829415587,-5.299241401443262,-0.04055809672619542,-6.040340157347461,-0.04772678773328076,-6.9111698090762035,-0.06451986726695755,-9.471035596995238
basis_level_15,0.001665334228390066,0.25712259084218453,0.0014600117001322772,0.2205676575928212,0.005085975311219346,0.7880834823203093,0.014683537467533658,2.2589885492769164
fund_level_21,-0.03187913168287648,-4.79178560490269,-0.03871230563573859,-5.689221494321104,-0.04588895031434759,-6.629446211064858,-0.06739643640601171,-9.84950831960446
basis_level_21,-0.0036416921900142745,-0.5414819441771518,-0.005773327765916322,-0.8552402024269904,0.008187514362025744,1.2411046351123816,0.016952158740679815,2.562657649714642
fund_level_30,-0.03016030609559936,-4.50591319764441,-0.03795427890398794,-5.592654506217879,-0.04760981464630403,-6.849261163895774,-0.07042468328357859,-10.047803461560344
basis_level_30,0.0011509569790660317,0.1679264416596074,6.280960558430417e-05,0.009139236230861594,0.013904791052704608,2.0884343804750345,0.015008488375956823,2.2072679230271963
fund_level_45,-0.031443643736772435,-4.658802882553759,-0.03909826862497209,-5.691472659087467,-0.049950932659157496,-6.9049022357693515,-0.07030778609775538,-9.608493636173291
basis_level_45,0.004251846195878509,0.6201724021919248,0.005626688394000734,0.8164935140505174,0.01724380855031871,2.5870259625602396,0.01629055076066269,2.2964297649488845
fund_level_63,-0.02800306275251505,-4.095615819500049,-0.03727394497682404,-5.33528461672978,-0.045375154952909835,-6.265047865035885,-0.06719953019528896,-9.130849484451515
basis_level_63,0.0028772232030295727,0.4182530810211597,0.006462154060948307,0.924916776512313,0.01623771163034932,2.3631105679377513,0.01310046466988596,1.793678678293558
fund_level_90,-0.025719755261679852,-3.7810481549330106,-0.034123268379340384,-4.918587590749136,-0.04049426629107261,-5.629954850867837,-0.06028970681187839,-8.232121019672155
basis_level_90,-0.0013034452176240972,-0.186799313591202,0.0012393935995057622,0.1719117717138642,0.008832161808431738,1.2437597965393277,0.0043474022207053865,0.589588948221603
fund_spread_1_9,-0.012053524763791741,-1.9123035789327507,-0.013648517128603798,-2.115828625414756,0.0013998130522736882,0.21367451518565128,0.00822516095730368,1.2692463373151293
basis_spread_1_9,-0.004876251306874876,-0.776357787953139,-0.012150887633855474,-1.96387279038309,-0.005527114755403099,-0.8847856505131513,-0.0021603299455168934,-0.33500208065641274
fund_spread_1_15,-0.015096608733462505,-2.410555410142264,-0.019456979355418087,-3.0414965713198328,-0.0012522260617570044,-0.19159011347370888,0.0038180473411390573,0.5805745212565386
basis_spread_1_15,-0.006410457461888386,-1.017850508174596,-0.012177743232822393,-1.975282474875349,-0.006879809578130691,-1.1040003041331645,-0.0013266165445255703,-0.20742864312659773
fund_spread_1_21,-0.019119850883517406,-2.999414046962539,-0.019838156813616444,-3.0535846713435157,-0.0015820032001349577,-0.24256088266484044,0.007486681782199874,1.1548046482415555
basis_spread_1_21,-0.005862508516814151,-0.9273067031723502,-0.00943825979745304,-1.5210263506296506,-0.007657450033557198,-1.2211051916859075,-0.003232330898441877,-0.503621103465396
fund_spread_1_30,-0.017767479344319447,-2.791065400801438,-0.016436803485771725,-2.5552060481225545,0.00210765896291782,0.32285818458636784,0.01079680665420228,1.6428542435998539
basis_spread_1_30,-0.00844265829965169,-1.3332550734040305,-0.01220868363854327,-1.980092622331322,-0.007007031357587039,-1.121540327506609,-0.00320290014026618,-0.4983670521034681
fund_spread_1_45,-0.013057529150931172,-2.0300039666247782,-0.014407304936838993,-2.21898709486349,0.0011246390944667502,0.17071338502367914,0.011377210193607155,1.7126581965289123
basis_spread_1_45,-0.010508588690110605,-1.6753486112513785,-0.013913343333481341,-2.253764937241671,-0.007736584805268952,-1.235614752184917,-0.004196147585049704,-0.6478754565653413
fund_spread_1_63,-0.012771893944186144,-1.978784733512922,-0.013413145052730573,-2.025550588294426,-0.0010712521431277661,-0.16054344879570848,0.011653993405693765,1.7711235236354659
basis_spread_1_63,-0.00896652581429131,-1.4397810312770396,-0.012746707896632969,-2.0612349934186454,-0.005003483321107129,-0.7973960794511735,-0.0014267363183771873,-0.22030206096730534
fund_spread_1_90,-0.014597509585843315,-2.285379792292761,-0.01278359511170021,-1.9399316629043204,0.0011648902445258865,0.17440651835832705,0.012743846765293597,1.9456595889784536
basis_spread_1_90,-0.006214759614972303,-0.9990624601402428,-0.009614427115919283,-1.559779485291409,-0.0019008244088657646,-0.3037851900050963,0.0014781836406032652,0.2281353414536733
fund_spread_3_9,-0.011214438366199867,-1.7469843102802467,-0.0160185173932852,-2.509185097811197,-0.003468562349354098,-0.5323795263550273,0.0003956145095519791,0.06137263828117316
basis_spread_3_9,-0.006361042379473493,-0.9916888312934685,-0.0033214294889321655,-0.5160405688011466,-0.001483909462175002,-0.237962286662744,-0.0018018415764547427,-0.2878910989592465
fund_spread_3_15,-0.013411731111583301,-2.100671057501002,-0.018929635886277746,-2.9657179607583513,-0.003448365643684867,-0.5325551235737294,6.325216665312436e-05,0.009797827596731874
basis_spread_3_15,-0.004157300615598853,-0.6546216453781614,0.0016119855837782586,0.2514742601472855,-0.0009597383394292487,-0.15332313654577015,0.0006418331206518613,0.10126639511512672
fund_spread_3_21,-0.01933818449610723,-3.0392860849682535,-0.02164624561777709,-3.3395715341757755,-0.006555451969329428,-1.007544684017156,0.0009894871750936501,0.15199393461703506
basis_spread_3_21,-0.004578485702153051,-0.7152282241997097,0.005142873202989938,0.8093463222767809,0.0018897258142341103,0.30242696437895955,0.002804788849795987,0.44244689693964084
fund_spread_3_30,-0.017733388276262432,-2.7741513738070296,-0.016947943917903305,-2.6254202377653093,-0.004979982460711372,-0.7540381314378487,0.0019488526378305623,0.29634453660495963
basis_spread_3_30,-0.006584693171904516,-1.025693162549983,0.0014942402954303564,0.23490966525414433,-0.0005094499234939682,-0.08129738133881903,0.001203401831727432,0.1897399472206927
fund_spread_3_45,-0.015875955748266283,-2.4560765875988397,-0.01586684930388246,-2.430817145007198,-0.003210581843949135,-0.48475929399302004,0.004933582606700548,0.7367112145824021
basis_spread_3_45,-0.007616454018816805,-1.1822422749812067,-0.003130280407078303,-0.4922911129824187,-0.0014724250824318438,-0.2345377866158508,0.00011183404781626851,0.017520747705368434
fund_spread_3_63,-0.016409623790194967,-2.5595869323432185,-0.015619258085696653,-2.3839366553602286,-0.004856604168487647,-0.7232471460327835,0.0029066636915255997,0.4365711198272599
basis_spread_3_63,-0.0057317724637819395,-0.8867440566474728,-0.0005789481649091492,-0.09164931811042587,0.003405116025952221,0.5403797969146503,0.005588803291074096,0.8824923469638266
fund_spread_3_90,-0.01268285330734752,-2.0048068730924835,-0.010560330270759704,-1.625931197114313,-0.0003351392906992991,-0.049507065222663536,0.006181915641070882,0.9342806679089349
basis_spread_3_90,-0.004290500405609397,-0.6650901714529832,0.0027198774239765447,0.42798012026514454,0.007861013583434315,1.2513456887080299,0.009284199363785266,1.4677180706302753
fund_spread_6_15,-0.01515842474738012,-2.3763927491229913,-0.016973329554466544,-2.6331387016170993,-0.004168692528692746,-0.6285817245745037,-0.002268042863820818,-0.3444740597216703
basis_spread_6_15,-0.004886336038224842,-0.7714186219856556,0.004004343354671684,0.6282839518172709,5.655120152243546e-05,0.009100089277204442,0.0016706756256353557,0.26260498269766386
fund_spread_6_21,-0.018178487028893436,-2.886354224469143,-0.018408468653126283,-2.820459510851111,-0.0016875725676051357,-0.2574770585358431,0.0027665351828399113,0.4186802438705888
basis_spread_6_21,-0.0042506571562806305,-0.6694592578256857,0.008803120303183434,1.3803352533936808,0.0019191886941018806,0.3098375552102609,0.003888754018266134,0.6140009121408218
fund_spread_6_30,-0.016599178564897968,-2.5952522975540213,-0.015507455205737791,-2.356706736942975,-0.0030924828110180575,-0.4724534564616177,0.003621595877874611,0.5434623506679708
basis_spread_6_30,-0.0030393721084538495,-0.4774345445820627,0.007888816825236261,1.2531766272821878,0.003861227200733655,0.6250664638085157,0.006481949537527491,1.0314832419734716
fund_spread_6_45,-0.014178115199283749,-2.183537987594793,-0.014430655417168802,-2.1747632568706954,-0.004631583298984013,-0.6935049563234637,0.006152840524274279,0.9104111487983484
basis_spread_6_45,-0.006256696459585024,-0.9806903719775657,0.0013572918970175321,0.21679486002839252,-0.001375125322564303,-0.22370436218576834,0.0032298060062621145,0.5068169673358457
fund_spread_6_63,-0.013312765712852177,-2.0481613474924214,-0.015521201332938543,-2.3290912537128965,-0.008991685007255945,-1.324995292873314,0.003931791465789133,0.579698225827889
basis_spread_6_63,-0.005771344069512015,-0.9055695796742896,0.0036786398427540415,0.5820949145798792,0.0020016886920372397,0.3197080626447127,0.007584174749107292,1.2065821067165496
fund_spread_6_90,-0.011734320534036422,-1.8169744078599905,-0.012112183272046016,-1.8395219947174952,-0.003178730800749833,-0.4650533574278957,0.003530660726287121,0.5311919804363842
basis_spread_6_90,-0.002730407065281948,-0.4285551542004268,0.006820222013331524,1.075161780990121,0.0050287231174635785,0.7959232862708824,0.011084944459056821,1.7800265529622106
fund_spread_9_21,-0.01911977112279502,-3.0410561586779763,-0.014596197134583372,-2.2654668177910944,-0.004862345650783814,-0.7430798972938243,-0.003663778491614091,-0.555139092663844
basis_spread_9_21,0.0038104407615722844,0.6092289073787792,0.01350412221708015,2.1762611296380654,0.0014081999358413386,0.2295667419715149,0.006349782147045002,1.0039777197390438
fund_spread_9_30,-0.014005904183991584,-2.203922096014906,-0.011510458889723366,-1.7545201948511076,-0.0008735310196100682,-0.13305799011587846,0.004005100969941697,0.6007105575175367
basis_spread_9_30,0.0006402257357191818,0.10161019880401294,0.009859131436874058,1.6082889066581927,0.0011570758970402156,0.190384576124854,0.005100733162558182,0.8254491786898756
fund_spread_9_45,-0.013416694761567436,-2.013053813153469,-0.009347008895048867,-1.3946560473617358,-0.0020806693703624736,-0.3097437802506218,0.004200790970981479,0.6257129101668394
basis_spread_9_45,-0.002798524872844587,-0.44512843615834213,0.005176371942598883,0.8430918511087478,-0.002696441823791117,-0.44231949994798847,0.004354221232273427,0.6978793374707288
fund_spread_9_63,-0.012928630503045204,-1.933052805656424,-0.01146519619254748,-1.7163480634191395,-0.007828876893493585,-1.165192402446332,0.001383237300227137,0.20632755701455538
basis_spread_9_63,-7.256194651330847e-05,-0.011530657465895445,0.00977126997108728,1.5764325307902443,0.00184901705591103,0.29758114143839515,0.009392750628488223,1.5061372166198255
fund_spread_9_90,-0.009952154447119142,-1.5150323603256763,-0.009503479365604282,-1.4262289227377871,-0.0017433311228272482,-0.25850106174183046,0.002150087332012897,0.3270482041659854
basis_spread_9_90,0.0027881758790982447,0.4415468707405776,0.012340254830169269,1.9833428413608254,0.005342622001496729,0.8604464867060554,0.012947102178001478,2.127276782139535
fund_spread_15_45,-0.004580066599540756,-0.6831115384435678,-0.004779592750548568,-0.7120670476495,-0.003735475611863952,-0.5623449514966646,0.0034174985639500647,0.5156029141385418
basis_spread_15_45,-0.002721639697951372,-0.4402788763189379,0.00010684780099439194,0.01700653235812884,-0.004798862670865093,-0.7809665246773683,0.004357711624944383,0.6752840563204338
fund_spread_15_63,-0.007005335995075213,-1.049781326063257,-0.006812456763460397,-1.022300250338236,-0.010794729745950424,-1.617638621447306,0.0006710896091231409,0.10119009213613227
basis_spread_15_63,-0.0016887899570592793,-0.2696001791218224,0.0004674358128685963,0.07337918091547438,-0.002499804822631786,-0.40432796319675446,0.007929695190466659,1.2728362176270773
fund_spread_15_90,-0.008480521476937305,-1.2973871457976782,-0.006970670409162265,-1.0534068768635672,-0.005668594703732959,-0.8486571562731597,-1.5063064217847675e-05,-0.0023351871813322425
basis_spread_15_90,0.0011526241153806635,0.18205720122041277,0.0029004314064665117,0.44960912091039185,0.0027625725897279345,0.45052393901354126,0.014479263659954517,2.429654095651604
