measure,ic3,t3,ic9,t9,ic21,t21,oic3,ot3,oic9,ot9,oic21,ot21
fspread_1_21,-0.019119850883517406,-2.999414046962539,-0.019838156813616444,-3.0535846713435157,-0.0015820032001349577,-0.24256088266484044,-0.013029218355264056,-2.082433536122079,-0.015789924145642592,-2.5165700983367,0.003571149810473964,0.5653922601255322
bspread_1_21,-0.005862508516814151,-0.9273067031723502,-0.00943825979745304,-1.5210263506296506,-0.007657450033557198,-1.2211051916859075,-0.001268819571521903,-0.2037303015255282,-0.003576045409712959,-0.5856922127590044,7.488245279811529e-05,0.012040244303538498
fspread_3_21,-0.01933818449610723,-3.0392860849682535,-0.02164624561777709,-3.3395715341757755,-0.006555451969329428,-1.007544684017156,-0.0190376102455568,-3.0759052948976495,-0.02191955717901354,-3.5001472931962683,-0.0035545892052591573,-0.563385408026952
bspread_3_21,-0.004578485702153051,-0.7152282241997097,0.005142873202989938,0.8093463222767809,0.0018897258142341103,0.30242696437895955,-0.0017952630601962094,-0.28417995580095695,0.007147663121693,1.1161344293533753,0.005117519126484107,0.8261697279416121
fspread_3_30,-0.017733388276262432,-2.7741513738070296,-0.016947943917903305,-2.6254202377653093,-0.004979982460711372,-0.7540381314378487,-0.013435841090944787,-2.1360141888264734,-0.013764711598246175,-2.176373640221475,0.000665276964596848,0.10461907190169062
bspread_3_30,-0.006584693171904516,-1.025693162549983,0.0014942402954303564,0.23490966525414433,-0.0005094499234939682,-0.08129738133881903,-0.002957635216882406,-0.4661310000868878,0.005654819610325163,0.8773137434998868,0.0041222107307614785,0.6584492274301226
fspread_6_21,-0.018178487028893436,-2.886354224469143,-0.018408468653126283,-2.820459510851111,-0.0016875725676051357,-0.2574770585358431,-0.013331563099001487,-2.1762905989966277,-0.015497072852843878,-2.484033620191946,0.003498320060101689,0.5425588540051657
bspread_6_21,-0.0042506571562806305,-0.6694592578256857,0.008803120303183434,1.3803352533936808,0.0019191886941018806,0.3098375552102609,-0.004186809919724169,-0.6661038065532863,0.009054969812302893,1.4319759688870715,0.0046946539281955265,0.7616419518906654
fspread_9_21,-0.01911977112279502,-3.0410561586779763,-0.014596197134583372,-2.2654668177910944,-0.004862345650783814,-0.7430798972938243,-0.018983769863163608,-3.072368899166175,-0.01391583072491527,-2.2391037405453607,0.0028153079326763975,0.4431634385046578
bspread_9_21,0.0038104407615722844,0.6092289073787792,0.01350412221708015,2.1762611296380654,0.0014081999358413386,0.2295667419715149,0.005249399209031465,0.8431474052812443,0.014754857565839904,2.4019428718353835,0.004271408607926905,0.6982553440008132
fspread_3_45,-0.015875955748266283,-2.4560765875988397,-0.01586684930388246,-2.430817145007198,-0.003210581843949135,-0.48475929399302004,-0.01360386914386241,-2.1457501938276122,-0.01431460376439336,-2.2452666439385953,0.0013640180353423448,0.21393531584747555
bspread_3_45,-0.007616454018816805,-1.1822422749812067,-0.003130280407078303,-0.4922911129824187,-0.0014724250824318438,-0.2345377866158508,-0.005533322595919611,-0.8682894687659334,-0.00011352994481861873,-0.017801225902008288,0.0011033836991802346,0.17803235795980585
