G,G_eff,compliance,sh1,sh2,sh3,worst,median,dd2,dd1,cal2,posq2,vol,turn,edge,costsh,trades,L,S,fund,folds,fails,ks,kl,hold,dg,n,h1,h2
-19.41636816731319,-9.84614578334547,0.5071054328234839,0.4436784062338409,-0.010700376109633512,-0.46368293858832815,-0.5982689451291242,-0.04633043690521695,0.2512758219839949,0.20425799911260056,-0.033328302254082766,0.47058823529411764,0.1196250398384396,72.45950200390122,14.844238089852901,0.04785863686947114,2513,0.48736753368368535,-0.06154539287597849,0.08276640777749536,"[0.58, -0.18, -0.6, 0.08]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,6,0.2,1,0.6655441768254187,0.2271159541130579
-35.72598362501117,-17.234048295540802,0.482395347779187,0.4848122242450606,-0.14584748239393303,-0.772561938626175,-1.6004755779659203,-0.121312101174952,0.3052964411987543,0.17953800191213865,-0.08251727227826026,0.29411764705882354,0.122805092508985,103.29417988014433,13.271636299590893,0.061415921962129034,4762,0.6724940624167921,-0.12977471240231736,0.09054457146480391,"[0.88, -1.6, -0.05, -0.19]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,6,0.2,2,0.3973817594456449,0.590270887979393
14.806314464616449,13.203592673599115,0.8917541705028988,0.9840057329248587,0.5288679984500287,0.07399688253347633,-0.22767724205874734,0.5821874831588588,0.19686034932791252,0.15726068577087315,0.29773258113544965,0.5882352941176471,0.12155452613614194,73.70855142972395,23.712168661507402,0.04784269087584402,2403,0.48401924806922103,0.2079138962497311,0.07489434762571603,"[0.8, -0.23, 0.36, 1.09]","['turnover', 'gross_edge']",2,21,6,0.3,1,0.7398263532967958,1.2221603560912289
-8.291703970557338,-6.201882176867503,0.7479623246186194,0.7789252421201024,0.16246530994040015,-0.4526807190662225,-1.2160234087446804,0.48152429220042997,0.21836503470698798,0.165214714901729,0.057430715864704954,0.5882352941176471,0.12372966886134593,101.64047656412518,16.996921900444995,0.06009122036315028,4585,0.6608262666541814,0.023104205897057972,0.08030337677442352,"[0.71, -1.22, 0.32, 0.64]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'turnover', 'gross_edge']",2,21,6,0.3,2,0.4214577051742754,1.2071388245344086
-4.248214744765604,-2.2999447805611433,0.5413908944680816,0.44836044923330365,0.04223458368442429,-0.3637993450734171,-0.3145521122218327,0.05771508867019155,0.19137852878443562,0.1524992844523545,-0.012586028295781796,0.5294117647058824,0.1238727718366144,67.04897129993257,15.72647596698335,0.04684112162148934,2262,0.5201251171482943,-0.10268083449836143,0.07822172893679068,"[0.05, -0.31, 0.36, 0.07]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'turnover', 'gross_edge', 'short_pnl']",2,21,6,0.4,1,0.26138146609454255,0.6287638019258474
-3.2438346163065193,-2.201723063612844,0.6787408496552023,0.9145049815536663,0.33676793747454425,-0.2408627740798566,-0.3390115797033988,0.3311744005258299,0.26693011445848314,0.21982504253030577,0.13319067465161435,0.5882352941176471,0.12807185444824903,98.61660817577193,19.337140156074934,0.05996409764363301,4351,0.771263658567565,-0.01631522392460584,0.08999736967770569,"[0.98, -0.34, 0.81, -0.15]","['dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,6,0.4,2,0.9338334046722181,0.8958607023139139
-40.23664343432449,-18.265690920915354,0.4539566266438001,0.026987895242818753,-0.32753274065107535,-0.6806739329639301,-2.4131632158025584,-0.2038184412547262,0.3000591818650993,0.2471177850438897,-0.14749327805307902,0.29411764705882354,0.11706213497925577,55.390803170293744,8.041384425968445,0.03543791296568336,1713,0.06698108139171954,0.1093559274098349,0.04050222243868057,"[0.02, 1.07, -2.41, -0.42]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge']",2,21,9,0.2,1,0.8363604895194318,-0.8745103285461746
-53.14098366389384,-12.263303922437041,0.23076923076923078,-0.7630792378621526,-1.2243578000436066,-1.6825394173135162,-2.3243892143553375,-1.3671021241941115,0.4776600336846478,0.3715101306612161,-0.3065812094228868,0.17647058823529413,0.12298454302143816,75.73647218740922,-4.958151094980197,0.04639092513654625,3260,-0.001277278156408157,-0.1473846672603271,0.05259943489136562,"[-0.27, -0.73, -2.01, -2.32]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'long_pnl', 'short_pnl']",2,21,9,0.2,2,-0.05231621069028111,-1.6328420257677438
-6.85858946321327,-4.935975132882499,0.7196778811965776,0.5783322273205982,0.23302497406327657,-0.11123043076440652,-0.7218346829222912,0.08222616018181714,0.1659661474149181,0.1322076774145463,0.12494928301016137,0.5294117647058824,0.11739610830101337,54.00447237630128,20.007222264461674,0.034585183556861,1671,0.21766707461357715,0.2100843915906804,0.04185453619508903,"[0.64, 1.46, -0.48, -0.72]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge']",2,21,9,0.3,1,1.3160075395216864,-0.2209409562469241
-46.1775772192304,-14.28017647220878,0.30924481820284583,-0.40364263165497244,-0.8612709783512466,-1.3162442671327388,-2.0181854289348613,-0.5834162920179111,0.39661008348501325,0.2682332492585362,-0.27277097577430387,0.29411764705882354,0.12384911693280798,75.64163350456855,0.8073054654798297,0.04714095616723627,3204,0.20624467186466822,-0.1820692659767073,0.06218538547160586,"[-0.33, -0.83, -0.23, -2.02]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,9,0.3,2,-0.15188790994946763,-0.7191230466049878
