h,measure,ic_price,t_price,ic_carry,t_carry
3,LEVEL_21,-0.01993555550254878,-2.989984401123121,-0.5678449882787416,-98.91870829851575
3,LEVEL_9,-0.021468244046055872,-3.2600303267296944,-0.5809510764680855,-103.3822929046866
3,LEVEL_45,-0.020371425609440396,-3.009126357749387,-0.5443099201961957,-94.67118035670316
3,fz1_21,-0.015828379351860003,-2.530799150230824,-0.05785170813616869,-7.489623969073611
3,fz1_21o,-0.010543034374386572,-1.6950927014827069,-0.10126197868685236,-15.881406401919397
3,fz3_21,-0.014791782659277554,-2.3515235055563446,-0.0928070273915611,-12.521433392849294
3,fz3_21o,-0.015432889136602616,-2.512733506456076,-0.12824440658931227,-21.434386695175444
3,fz6_21,-0.01541270892799771,-2.416304816577345,-0.09381828280714039,-12.868676342914194
3,fz6_21o,-0.01418735922726577,-2.271048615111949,-0.11812343607994104,-20.41500616964502
3,fz3_45,-0.009649194579229851,-1.519061996849995,-0.11117149594953907,-14.966933593334566
3,fz3_45o,-0.009668802837502533,-1.5510957594521717,-0.09880518310313469,-16.65759117049506
3,fz9_45,-0.010922639765930576,-1.6966677122675025,-0.11358763922677062,-16.073260241700922
3,fz9_45o,-0.011901561347634098,-1.8618635445789062,-0.0647378597869765,-11.444917926451117
3,dfund_1,-0.00765220886561375,-1.2009956919370792,-0.05993428254373766,-7.4789916747083565
3,dfund_3,-0.00889956909739869,-1.4413575207003226,-0.07558780531402304,-9.465919803480036
9,LEVEL_21,-0.02081373913541586,-3.0474773275223006,-0.6087842574041443,-109.3395088363452
9,LEVEL_9,-0.02154862261610826,-3.278641090604446,-0.6096845833930733,-109.76112900102201
9,LEVEL_45,-0.021869415492120813,-3.1740367515105605,-0.5949669966388772,-109.64754779894646
9,fz1_21,-0.018373772676153786,-2.8448639907267346,-0.017407890645320865,-2.2365953974785735
9,fz1_21o,-0.01512898107366703,-2.444837724153951,-0.06703816672157796,-10.733382946933878
9,fz3_21,-0.019799111160910307,-3.105161150264842,-0.05980421211739794,-7.996911443246948
9,fz3_21o,-0.022080237752429448,-3.5685404312373588,-0.10023917705945394,-17.3974564423744
9,fz6_21,-0.016777505688322703,-2.6260694905169006,-0.0675697269412879,-9.113366583259966
9,fz6_21o,-0.01694623575400849,-2.7083410774878636,-0.0969247021314,-17.27678436494676
9,fz3_45,-0.008817340399261948,-1.37891897723416,-0.07533953960955075,-10.01988893522831
9,fz3_45o,-0.010113600441888389,-1.617058074676444,-0.06722029360208134,-11.606873604707147
9,fz9_45,-0.0034326053293131627,-0.5259134733884312,-0.09379161520226553,-13.008473475119805
9,fz9_45o,-0.005293343153861353,-0.8345139672206747,-0.044978318384280326,-8.038647584354392
9,dfund_1,0.003732590538756436,0.5753375009256936,-0.04814881579326812,-6.052251787040073
9,dfund_3,-0.009431622460602888,-1.457216365503116,-0.05217079588193136,-6.40356047790069
21,LEVEL_21,-0.022850261335037564,-3.290311459784977,-0.6230085417728298,-115.9799413745923
21,LEVEL_9,-0.019875999989974774,-2.9042808917690697,-0.6130970061227881,-113.62171640621315
21,LEVEL_45,-0.027474809799926923,-3.782631424552063,-0.6168033304453717,-117.3075022167102
21,fz1_21,0.0007445877502758445,0.11423158407271099,0.00955711850217778,1.2412321588757662
21,fz1_21o,0.004929002013112291,0.7739830650937886,-0.04283694598961898,-6.959952425205262
21,fz3_21,-0.0020702116751953807,-0.3213618429727451,-0.0347510047687838,-4.657978492574898
21,fz3_21o,-0.0019195386618119608,-0.3045279550910228,-0.07955097148173502,-13.74015043987077
21,fz6_21,0.0017670415504023101,0.26923815306549137,-0.05147641000691439,-6.879437925426799
21,fz6_21o,0.0022913722345256566,0.3568487394256559,-0.08238643262069398,-14.422613605377672
21,fz3_45,0.004377254382859537,0.6652981651615355,-0.049617740509275185,-6.614700474986682
21,fz3_45o,0.008641568061556441,1.3806628528128735,-0.04446411813254899,-7.744329243871093
21,fz9_45,0.008039656222498553,1.2184900152499407,-0.07838053038715963,-10.792615980411066
21,fz9_45o,0.010399310983585567,1.643140671333188,-0.028469874436465283,-5.124296124602706
21,dfund_1,0.011405981293784319,1.8097806437690431,-0.03873057823300382,-5.0308224314642835
21,dfund_3,-0.00039721185904227873,-0.061834752924180676,-0.03342513599355902,-4.083935886648805
45,LEVEL_21,-0.03762651479667479,-5.456738562881887,-0.6121276989932106,-115.21180187301066
45,LEVEL_9,-0.031014243507617754,-4.587531674980005,-0.5911569283262846,-107.4301531191969
45,LEVEL_45,-0.0413284797421418,-5.618770856240433,-0.6105500381767647,-116.56475728820136
45,fz1_21,0.007830756164138006,1.2053522999271347,0.025524927087594927,3.3502109389406143
45,fz1_21o,0.009593724613574411,1.4795054834101415,-0.02856454000348803,-4.604120273351901
45,fz3_21,-4.212005295792883e-06,-0.0006510874270397318,-0.018597778958858308,-2.4940038276798333
45,fz3_21o,0.0012431240414936511,0.19298634601213924,-0.06287230705784955,-10.774317458325312
45,fz6_21,0.00016918403758243547,0.025476348758958565,-0.03804940213805133,-5.0681007666571585
45,fz6_21o,-0.0006430378838859532,-0.09795883086862872,-0.06815189838595062,-11.845181934265325
45,fz3_45,0.0065218934528804865,1.022347284847292,-0.02957262873594902,-3.941945387011988
45,fz3_45o,0.009910217301561297,1.6104534887591575,-0.02696906437013543,-4.621158464482827
45,fz9_45,0.002681196715605532,0.41625541062443494,-0.06168390213807441,-8.429692526955966
45,fz9_45o,0.005190366235323811,0.839497555910194,-0.014511246720710642,-2.51792210884697
45,dfund_1,0.012485335916629248,1.9212463920205904,-0.03103085218986009,-4.045376303206695
45,dfund_3,-0.0031190175378866046,-0.4948178263545452,-0.02369137920117535,-2.9653011756513172
