ks,kl,mh,dg,sh1,sh2,worst,medf,dd2,turn,edge,tr,L,S,G,h1,h2
2,24,12,0.25,0.3759993073575783,-0.14677586863508685,-2.3677292957087523,0.3929607078434634,0.23607188049989059,76.39418387355484,12.970722368311534,2470,0.41748418088214634,-0.025201222487717917,-21.896240719211168,1.1160649981311868,-0.3760675053580587
2,24,12,0.35,0.3210697351761903,-0.22787831862008462,-1.6967275047074015,-0.13122252601204948,0.19895143274127258,78.47322606455725,11.978952669558312,2351,0.25439838345327254,0.11774931598105712,-23.81608243885042,0.9099677921663126,-0.28664508441707987
2,24,12,0.45,0.1641159563385854,-0.3279643687034367,-1.7688497028561043,0.08442957816517331,0.21300065559500225,72.49463902424509,10.06653849082759,2141,0.3213366991250596,-0.03242772457768135,-25.606043238327256,0.5619037657474143,-0.23109170414007946
2,24,15,0.25,0.033007363998785774,-0.45932004450649366,-2.2630096426652035,0.10603322934323914,0.2730421755440464,75.5227130121521,8.016569416690153,2388,0.28256499619630343,-0.04287984875216612,-31.03932680249137,0.553028179834078,-0.45693588019506787
2,24,15,0.35,0.262935060905878,-0.2622628556107947,-1.82183147168706,-0.03754011678142597,0.23367056481607862,75.6653174018822,11.343636630952883,2267,0.18671802098729687,0.15308258356599203,-29.438355731042332,0.8983684043935738,-0.3601649303276276
2,24,15,0.45,0.17458082390819166,-0.30503143318818354,-1.7208821772641545,0.09323768290092088,0.21357450585298854,71.1264631269185,10.291946213495676,2108,0.25402003205542995,0.035783519720030035,-25.19706359873685,0.7361853968949441,-0.36019527493389436
2,24,18,0.25,-0.26022542934240417,-0.7637737664816215,-2.1024167854317906,-0.6536376657195005,0.3022439526777254,74.26495643266385,3.698272739199885,2333,0.17175817407914662,-0.06302605564975527,-41.50427128267644,-0.18650054836950528,-0.3288982770549687
2,24,18,0.35,0.08421619767656523,-0.44862207305084156,-1.484476816255058,-0.33683519375977655,0.20616914023816024,75.23054336270559,8.793791700572102,2239,0.14119698002681474,0.12070896428739009,-27.665754790336937,0.3320839613994274,-0.15922844692266985
2,24,18,0.45,0.12753217871227365,-0.3573400119273619,-1.4375544966993545,-0.08942684700989137,0.1946629130716998,70.45230890865714,9.55489249385153,2063,0.2183208214608546,0.048178445191922034,-24.347030747920712,0.3949462756790936,-0.1296521448635323
2,24,21,0.25,-0.13201190101695845,-0.629255995727774,-1.857009166998226,-0.5136250459603593,0.26068843417816245,73.52960214796823,5.570917554831865,2305,0.19977524344668499,-0.03760770295858834,-37.28731356527099,-0.07010425262164074,-0.1899824942819073
2,24,21,0.35,0.16625408798919292,-0.35968743190966246,-1.3017354003862143,-0.32021610962352703,0.20714725338036832,74.2342430091422,9.978218602146393,2213,0.16330541295079373,0.12994071143744285,-24.858006930938483,0.3819374655333265,-0.04643682704647221
2,24,21,0.45,0.21059660866231275,-0.2705315162540066,-1.4301617884317592,0.055105113249125315,0.18498574094399667,69.97506579686038,10.861810546946792,2044,0.22775998930711727,0.07313885634225019,-20.61727358830232,0.5306149338576359,-0.0979950378706654
2,24,24,0.25,-0.20327447502007234,-0.7046049877216009,-1.8570091669982483,-0.6687285188792373,0.284602472704232,74.10600780623196,4.523911179857197,2323,0.19367757374653713,-0.06095571046782744,-39.68383062479268,-0.21974556224718012,-0.18775764398153427
2,24,24,0.35,0.14873581691775173,-0.37813553524214727,-1.3017354003862256,-0.32729341600050144,0.2088349818596552,74.20460946784857,9.728184064043308,2217,0.16166684215549296,0.12411698345925226,-26.428446554593446,0.34552103097620207,-0.0450731112956885
2,24,24,0.45,0.1971590781717813,-0.2867090371575188,-1.430161788431762,0.020888990354413578,0.1849857409439959,70.18548621004538,10.63928814181634,2056,0.22615928830336884,0.06946142899233168,-21.23963362710952,0.5038895151847936,-0.097929774067279
2,27,12,0.25,0.49620948168893675,-0.026499066551208934,-0.8592830440500622,0.027845893306467362,0.17104953314774618,79.2997548095015,14.698760177786864,2388,0.19598568531953897,0.26546737573734464,-11.97311269383539,0.9106305657731494,0.04628540178931151
2,27,12,0.35,0.015145163694441806,-0.484929638105827,-1.3402359563975768,-0.4827872510907781,0.22424328691968498,75.89305813227352,7.805586095255992,2195,0.08716591541261433,0.14735552567368385,-32.10312822712381,-0.0205548214052196,0.04978453543051644
