hold,cad,n,ph,sh1,sh2,worst,med,dd2,turn,edge,tr,L,S,G,h1,h2
9,3,1,0,0.4911198807465499,-0.012489640072618043,-0.9146149922755006,-0.04348388317057178,0.17538107201343478,77.47778121083434,14.8770347825788,6015,0.4045689136523746,0.05175006947053934,-17.018680245077437,0.5897637841613574,0.3828915901531255
9,3,1,1,-0.2713836342103466,-0.7930067888582985,-1.6926569583870503,-0.7311011469359817,0.38117690289992323,82.86469164902623,3.5593178510930383,6437,0.1721638887251986,-0.05539926773179979,-44.99763767018092,-0.1226584472735166,-0.43589356492779746
9,3,1,2,0.357612535027342,-0.1441313303433222,-1.3810091872296497,0.037525322373624576,0.20618274713989426,79.60887617059034,12.833110625486217,6331,0.4516493416964773,-0.04719601328688856,-22.7891516433301,0.8632488728068288,-0.2317131647967157
9,3,2,0,0.03733661475192326,-0.6617976444053709,-1.7434038894233475,-0.7840272648182638,0.33073801707780115,107.20977691896918,7.913812268514025,10697,0.2939002752613818,0.04198821218937311,-43.779733409140185,0.5388553958369157,-0.5378516019791802
9,3,2,1,-0.37421782901774925,-1.0501005657645635,-2.1364351428111785,-1.0876454883646771,0.4038094460805163,105.71924133792312,3.3493435485391085,11328,0.4805371774440791,-0.34035631849717674,-50.161331303344525,0.19622164305572898,-1.0334493108848866
9,3,2,2,0.22764195177124014,-0.4690802372622377,-1.1603419194897429,-0.498058530234491,0.23689852035877945,105.61397472668479,9.99160071606127,11219,0.6232234427150695,-0.20545903130272886,-31.86309378623181,0.4734031213295648,-0.06511605318234988
12,2,1,0,0.7818089888336931,0.22067968307480526,-0.5384215107317158,0.2822893682330964,0.21649862135005093,85.581010985358,17.973102646840417,13671,0.5673487953462223,0.04159253242419218,-6.335465095706381,1.175898567343723,0.3705903276566968
12,2,1,1,0.1958991824739301,-0.35423716666428856,-0.7168188308584066,-0.47945116018550754,0.2766792659795855,85.39343169813709,10.156550872512986,13768,0.4736684253766935,-0.1303115898962125,-31.007081442420862,0.3658461256163117,0.009085681997304376
12,2,2,0,0.41598240692775873,-0.28989890635254056,-0.9958345463119312,-0.11840509642842456,0.2530117513177548,106.21224541678247,11.936165024686002,22270,0.48966663601368443,0.01223011864774129,-27.52806257960923,0.5285171286912732,0.2963788338200037
12,2,2,1,-0.7347336337290535,-1.4399907612240312,-1.9289073293249175,-1.7557085206443563,0.5059216476620493,108.92611230186239,-0.31452078732401684,22428,0.2805953019199724,-0.29415831998542896,-53.41750454924773,-0.36385801197305045,-1.1339930200170611
12,3,1,0,0.8207341078499957,0.35313114011059465,-0.27614518330321003,0.07042855484612498,0.1261471964632901,70.5280855733764,20.717991775651374,7161,0.4327716403388407,0.14570354567899002,9.808961585557316,1.057861418190186,0.5621386676641201
12,3,1,1,-0.13025553466787818,-0.58924698590194,-1.7536091090630463,-0.6342912482805704,0.3451846513404886,73.51055341939387,5.293272462278668,7642,0.35254019933905745,-0.19849473199466902,-43.409609494577786,-0.01699222543017417,-0.2472369649219249
12,3,1,2,0.48144055641127115,0.02108690758638513,-0.790290281163258,0.17673256132438592,0.15839974880285979,72.74267681562189,15.322123865611143,7535,0.49831014159243797,-0.057061653926427564,-9.289353958259444,0.7988588443001642,0.12266137425424607
12,3,2,0,-0.04081074408002561,-0.6766846307852489,-1.0467514361869859,-0.6749501201922223,0.3044567203332825,94.69646182875793,7.046236138325578,12343,0.26227391745208023,0.0018853969399826587,-37.013354397847586,0.16140986970757581,-0.26625767554211544
12,3,2,1,-0.5380318909646664,-1.1345213262925964,-2.2736924922100075,-1.1183503360860558,0.43890902169593293,93.84114468835136,0.7206810990781397,13003,0.325979423219915,-0.29920553711634634,-50.612264939302385,-0.17771372379616207,-0.9170488711432505
12,3,2,2,0.2243705760436582,-0.3723779881847669,-1.1843767260220897,-0.20630887036161216,0.24129520126593995,92.30755878574797,10.317281984267895,12892,0.5918132475421495,-0.21478182324681683,-28.73540595419596,0.43946476348013236,-0.017525542079674203
