G,G_eff,compliance,sh1,sh2,sh3,worst,median,dd2,dd1,cal2,posq2,vol,turn,edge,costsh,trades,L,S,fund,folds,fails,score,n,cad,rungs,ph
-21.782095938058198,-13.067212515552313,0.5999061133837432,0.4337022676443948,0.08525348022615614,-0.26301804035507714,-0.8336471686243184,-0.02827152823454232,0.24814864974484707,0.19958291253306892,0.012837344733118074,0.47058823529411764,0.11564635630297837,53.71867687136419,16.779120492567543,0.030393833271836035,19242,0.43006170143407296,-0.07322502758942773,0.26090716987969687,"[0.77, 1.11, -0.83, -0.83]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,1,0
-24.3175535491745,-12.490801335083434,0.5136536991611746,0.3956988825024006,0.05586645763479824,-0.28343121107108366,-0.9299003709023403,-0.07028833035799675,0.2774554500890668,0.23268132904097028,-0.0007521208795495107,0.5294117647058824,0.1154568178979541,52.304310847530466,16.17899616124028,0.029719679923092757,19200,0.4416612096303794,-0.10664637451126918,0.25957553920509246,"[0.78, 1.09, -0.92, -0.93]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,1,1
-20.177862678326225,-10.134781289340452,0.5022722897319838,0.3540794194898457,0.018610110000502778,-0.3161298008436679,-0.8628118018348153,-0.05680723174705077,0.24565411944634286,0.19803950422885064,-0.019053620837049933,0.5882352941176471,0.1171888541011327,52.436527981887494,15.322144219432381,0.0298923156464176,19205,0.372475095500526,-0.054400886259043935,0.260471168221331,"[0.64, 0.93, -0.75, -0.86]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,1,2
-12.266289920331971,-7.704782490898885,0.6281265599411469,0.37464434639960525,0.10680586263842191,-0.16106737203157104,-0.6483700699303161,0.08453204689698818,0.2079471715811647,0.1863404994749308,0.027395532867262366,0.5294117647058824,0.11420255826275183,40.779391334544734,17.929484306947273,0.02329862406788895,21940,0.37241019491322713,-0.0829535523555574,0.25105477604861226,"[0.67, 0.83, -0.5, -0.65]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,3,0
-20.470963018436116,-10.692898119682168,0.5223446552100242,0.2747889280726875,0.009697142328259998,-0.2552977359792112,-0.8196454138333263,-0.0451685221729059,0.24158771893558006,0.20381612109803116,-0.022470355126187096,0.5294117647058824,0.11451445156074211,40.47223719221445,15.192915760193825,0.02332122221641176,21859,0.35734680389075035,-0.11391723828362402,0.2500911367681441,"[0.6, 0.83, -0.82, -0.69]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,3,1
-19.546834511241208,-9.97012421732484,0.5100633666075758,0.20583268790596296,-0.058981550709886324,-0.3235986122494482,-0.7132445719841367,-0.14137842794064417,0.2292097852905992,0.18637106938166004,-0.058045450582443335,0.5294117647058824,0.11497607103700291,40.60424143128352,13.241435864028244,0.023455812424312324,21842,0.30877821655151505,-0.09592438837337897,0.2515447980514589,"[0.42, 0.68, -0.71, -0.7]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,3,2
-5.308142210078617,-3.4216550093282936,0.6446050000001068,0.2829885555607696,0.07798574636025715,-0.12712262655551043,-0.34195874252793185,0.05666890829151763,0.19575383023822435,0.18204254189415658,0.012358751824354666,0.5294117647058824,0.11343778407633509,31.00641332355603,17.749907164219415,0.018094124583246912,25168,0.32743290650400547,-0.1095502806701881,0.23335470818049586,"[0.47, 0.4, -0.34, -0.29]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,7,0
-6.992712465394291,-4.506086256882672,0.6443974751117687,0.2791230044563624,0.07573981287890826,-0.1276057195886857,-0.4056722683583922,0.031307331269341654,0.2032565956118243,0.18702266972108872,0.01062166833376774,0.5882352941176471,0.11356004971918209,30.792230172986255,17.672253415100318,0.017999714835242174,25093,0.31929254468962814,-0.1038616139954239,0.23242316300443278,"[0.29, 0.63, -0.23, -0.41]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,7,1
-8.9245438538828,-4.966941130051782,0.5565484591003287,0.24574741517892715,0.04217568629569707,-0.16130129028177512,-0.4700835978541208,0.03563270576599828,0.20681958828141644,0.19050147541994056,-0.008030636123278223,0.5882352941176471,0.11364950899361369,30.849679065798473,16.436592908179705,0.018098689900615663,25047,0.2576971231115703,-0.056955499730640013,0.23340061077545202,"[0.42, 0.51, -0.35, -0.47]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,7,2
21.24397856828124,18.48680042321587,0.870213663782262,0.5278512597212032,0.3860560766738701,0.24422520044950902,0.18707300313914496,0.42490556953020187,0.20225740415328008,0.19435814872329127,0.1881811725104839,0.5882352941176471,0.11342447899275981,21.44548297053293,35.234056046806415,0.01248823955035159,27315,0.4000994313530011,-0.10096014389807463,0.21325335091160863,"[0.19, 0.43, 0.42, 0.55]","['net_sharpe', 'dbl_sharpe', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,14,0
23.547360398293456,20.58033680668089,0.8739976141093252,0.5406397571221938,0.39741401746302063,0.2542050204570459,0.1633093366896889,0.46483355110610436,0.18902720904077464,0.18136367890219662,0.20737938657001517,0.5882352941176471,0.11272738047069703,21.518891990933394,35.65365008369778,0.012518069976052542,27267,0.39044065051410637,-0.08670282027778062,0.21659813574476355,"[0.16, 0.5, 0.43, 0.55]","['net_sharpe', 'dbl_sharpe', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,14,1
12.657815630921457,10.501253223951455,0.8296260215939795,0.41343902834726753,0.27070979828979475,0.12804955420014305,0.000882582706796172,0.35835421906896714,0.2064427408728532,0.19871904476619695,0.11831941859549104,0.5882352941176471,0.11248973014429307,21.40005824247708,29.07679594832238,0.01256628208258753,27201,0.30879921509579494,-0.062458336130274336,0.21727241791538443,"[0.0, 0.44, 0.35, 0.37]","['net_sharpe', 'dbl_sharpe', 'gross_edge', 'short_pnl']",LEVEL_21,6,3,14,2
