symbol,vol_target_pct,n_candles,fire_rate,mean_cap_when_fired,min_cap,mean_cap_all
BTCUSDT,2.0,5714,0.692509625481274,0.6817681117434646,0.11170615198255161,0.779621354247268
BTCUSDT,2.5,5714,0.4775988799439972,0.731838881221789,0.13963268997818953,0.8719265500269971
BTCUSDT,3.0,5714,0.3108155407770389,0.7587202073378453,0.16755922797382744,0.9250064907651406
BTCUSDT,3.5,5714,0.1944347217360868,0.7678190606816172,0.19548576596946535,0.954855963671207
ETHUSDT,2.0,5714,0.8615680784039202,0.5985905028224398,0.04915100934356015,0.6541583908636456
ETHUSDT,2.5,5714,0.7059852992649632,0.6699307553454954,0.061438761679450185,0.7669759655344293
ETHUSDT,3.0,5714,0.5411270563528177,0.7149860342772635,0.07372651401534022,0.8457712317090128
ETHUSDT,3.5,5714,0.3895694784739237,0.7388058391238312,0.08601426635123026,0.8982467269670368
LINKUSDT,2.0,5665,0.9825242718446602,0.4745538574501285,0.06834149893391343,0.483736411397602
LINKUSDT,2.5,5665,0.9346866725507502,0.5667938813865059,0.08542687366739178,0.5950880144645275
LINKUSDT,3.0,5665,0.8294792586054722,0.628547171540757,0.10251224840087014,0.6918875832427215
LINKUSDT,3.5,5665,0.7240953221535745,0.6828650077144547,0.11959762313434849,0.7703640355948268
LTCUSDT,2.0,5674,0.927035600986958,0.5451629938462978,0.08568948325592728,0.5783499026491938
LTCUSDT,2.5,5674,0.8063094818470214,0.6164827019121135,0.10711185406990908,0.6907663660993866
LTCUSDT,3.0,5674,0.6760662671836447,0.6718080180619981,0.1285342248838909,0.778120471851573
LTCUSDT,3.5,5674,0.5414169897779344,0.7111297410510812,0.14995659569787273,0.843600733963504
DOTUSDT,2.0,5012,0.9377494014365523,0.5010772857515728,0.07171740620875341,0.5321355233504375
DOTUSDT,2.5,5012,0.8505586592178771,0.5771449658246655,0.08964675776094178,0.6403369890882978
DOTUSDT,3.0,5012,0.7346368715083799,0.6294374699651526,0.10757610931313014,0.7277711022369696
DOTUSDT,3.5,5012,0.6207102952913008,0.6708392735975847,0.1255054608653185,0.7956865483164578
