half,vol_target_pct,n_trades,n_months,monthly_sharpe_baseline,monthly_sharpe_r5_oracle,monthly_sharpe_delta_oracle,wpnl_total_baseline,wpnl_total_r5_oracle,fire_rate,mean_cap_all_trades
IS,3.0,620,39,0.09101175205933931,0.008829224904354723,-0.08218252715498459,51.452999999999975,3.6683815629353393,0.4838709677419355,0.8744936300595102
IS,3.25,620,39,0.09101175205933931,0.014022053394484367,-0.07698969866485494,51.452999999999975,6.078953232976609,0.41451612903225804,0.901299100936602
IS,3.5,620,39,0.09101175205933931,0.01956526676547665,-0.07144648529386266,51.452999999999975,8.786039416995749,0.35,0.9232915544752157
IS,3.75,620,39,0.09101175205933931,0.027801570844997885,-0.06321018121434142,51.452999999999975,12.80491535052132,0.2870967741935484,0.9406327716661103
IS,4.0,620,39,0.09101175205933931,0.03513340976055722,-0.055878342298782094,51.452999999999975,16.60305147049696,0.22580645161290322,0.9538626947514945
IS,4.25,620,39,0.09101175205933931,0.04308361700814253,-0.04792813505119678,51.452999999999975,20.815867510121222,0.18387096774193548,0.963741066144807
IS,4.5,620,39,0.09101175205933931,0.048514301709319224,-0.04249745035002009,51.452999999999975,23.854608504043625,0.14677419354838708,0.9711477159723119
OOS,3.0,189,15,0.17098306338308142,0.1294728665585641,-0.041510196824517315,38.13439999999999,26.331104082146116,0.4497354497354497,0.9071099417046675
OOS,3.25,189,15,0.17098306338308142,0.1386851500400609,-0.03229791334302051,38.13439999999999,29.05736508205895,0.37566137566137564,0.9342480639133179
OOS,3.5,189,15,0.17098306338308142,0.14355553000970947,-0.02742753337337195,38.13439999999999,30.90826027473661,0.2751322751322751,0.9535482301724861
OOS,3.75,189,15,0.17098306338308142,0.1462257993385444,-0.024757264044537014,38.13439999999999,32.02079896368499,0.20105820105820105,0.9668766233458934
OOS,4.0,189,15,0.17098306338308142,0.1507671641821056,-0.02021589920097583,38.13439999999999,33.383057232411716,0.15343915343915343,0.9765106002251367
OOS,4.25,189,15,0.17098306338308142,0.15564846891491688,-0.015334594468164542,38.13439999999999,34.47771969945303,0.1164021164021164,0.9832676661869612
OOS,4.5,189,15,0.17098306338308142,0.1587410441950366,-0.012242019188044823,38.13439999999999,35.120018308189614,0.07936507936507936,0.9877217960256996
