symbol,n_candles,mean,p10,p25,p50,p75,p90,p95,p99
BTCUSDT,5714,2.7549404055986524,1.4477386293670413,1.8548031611841889,2.4389703425236213,3.253327991027245,4.257580611759102,5.345937440388155,7.818640669154355
ETHUSDT,5714,3.5746026972512195,1.8281071529003707,2.3893477020431693,3.1328254330051593,4.175024455865557,5.5269076884043296,7.076642961326191,10.478839700905796
LINKUSDT,5665,4.914112168940994,2.6885794590551724,3.3825437774578226,4.3506309782380175,5.764077010231477,7.672746871649316,9.237555702825524,13.26411187151518
LTCUSDT,5674,4.127572114121018,2.119502042082236,2.7256144027452502,3.6453459515740336,4.937426561859755,6.65176449154256,7.910982755263311,11.265563923347324
DOTUSDT,5012,4.604492475713099,2.243894563421239,2.932104408859828,4.123964419485214,5.487055308139118,7.436859224843684,9.092415920744706,13.39183736102601
