half,symbol,vol_target_pct,n_trades,fire_rate,mean_cap_when_fired,mean_cap_all,min_cap,wpnl_orig,wpnl_r5_simulated,wpnl_delta_pct
IS,BTCUSDT,3.0,113,0.1504424778761062,0.7926685824241102,0.9688085477983174,0.43166116173650715,-15.025999999999996,-17.06795389808695,-2.0419538980869554
IS,ETHUSDT,3.0,145,0.4482758620689655,0.75334668738749,0.8894312736564612,0.32890437555249036,-15.973,-7.352853473086264,8.620146526913736
IS,LINKUSDT,3.0,146,0.7397260273972602,0.7093001392899972,0.7849617468720528,0.27946696002249166,96.4006,52.87866352627618,-43.52193647372382
IS,LTCUSDT,3.0,123,0.5040650406504065,0.7722914021003909,0.8852200563432864,0.37018947528958573,2.2396999999999934,-8.59601118271106,-10.835711182711053
IS,DOTUSDT,3.0,93,0.5161290322580645,0.7345139183740761,0.8629749256124264,0.41122089003366513,-16.188300000000005,-16.193463409456587,-0.005163409456582002
IS,PORTFOLIO,3.0,620,0.4838709677419355,0.7406201687896544,0.8744936300595102,0.27946696002249166,51.452999999999975,3.6683815629353393,-47.78461843706464
IS,BTCUSDT,3.25,113,0.09734513274336283,0.7573939946252238,0.9763834862024554,0.4676329252145494,-15.025999999999996,-17.30476635547742,-2.2787663554774227
IS,ETHUSDT,3.25,145,0.38620689655172413,0.7782335666813157,0.9143522740286459,0.3563130735151979,-15.973,-8.29294976806446,7.680050231935541
IS,LINKUSDT,3.25,146,0.6712328767123288,0.7412273391631898,0.826303282452004,0.30275587335769927,96.4006,57.42621440725276,-38.97438559274724
IS,LTCUSDT,3.25,123,0.3983739837398374,0.7828336132946259,0.9134865613937939,0.4010385982303845,2.2396999999999934,-9.573729775460887,-11.81342977546088
IS,DOTUSDT,3.25,93,0.46236559139784944,0.7649744794472774,0.8913322861960531,0.4454892975364706,-16.188300000000005,-16.17581527527337,0.012484724726636642
IS,PORTFOLIO,3.25,620,0.41451612903225804,0.761888881636939,0.901299100936602,0.30275587335769927,51.452999999999975,6.078953232976609,-45.374046767023366
IS,BTCUSDT,3.5,113,0.07964601769911504,0.7632390533632503,0.9811429334537102,0.5036046886925917,-15.025999999999996,-16.981077817078255,-1.9550778170782586
IS,ETHUSDT,3.5,145,0.31724137931034485,0.7933077578328664,0.9344286680021506,0.3837217714779054,-15.973,-8.37414467223747,7.59885532776253
IS,LINKUSDT,3.5,146,0.5958904109589042,0.7679430082404505,0.861719463814515,0.32604478669290693,96.4006,60.76222453958846,-35.63837546041154
IS,LTCUSDT,3.5,123,0.3252032520325203,0.7999166982272319,0.9349322595860916,0.43188772117118335,2.2396999999999934,-10.068718628573384,-12.308418628573378
IS,DOTUSDT,3.5,93,0.3763440860215054,0.7791927368012619,0.916900492344561,0.479757705039276,-16.188300000000005,-16.55224400470359,-0.36394400470358335
IS,PORTFOLIO,3.5,620,0.35,0.7808330127863307,0.9232915544752157,0.32604478669290693,51.452999999999975,8.786039416995749,-42.666960583004226
IS,BTCUSDT,3.75,113,0.061946902654867256,0.7501653829205142,0.984523519295961,0.5395764521706339,-15.025999999999996,-16.506898778721347,-1.4808987787213503
IS,ETHUSDT,3.75,145,0.2620689655172414,0.8111574708418133,0.9505102337378546,0.411130469440613,-15.973,-8.28296382093389,7.6900361790661105
IS,LINKUSDT,3.75,146,0.5068493150684932,0.7846659196857682,0.8908580688818275,0.34933370002811454,96.4006,64.66644529225927,-31.73415470774073
IS,LTCUSDT,3.75,123,0.2601626016260163,0.8138216096489932,0.951563345599738,0.4627368441119822,2.2396999999999934,-10.046221713536942,-12.285921713536936
IS,DOTUSDT,3.75,93,0.2903225806451613,0.7781336035200475,0.9355871752154977,0.5140261125420814,-16.188300000000005,-17.025445628545786,-0.8371456285457803
IS,PORTFOLIO,3.75,620,0.2870967741935484,0.7932152720954404,0.9406327716661103,0.34933370002811454,51.452999999999975,12.80491535052132,-38.648084649478655
IS,BTCUSDT,4.0,113,0.061946902654867256,0.8001764084485483,0.9876215474260163,0.5755482156486762,-15.025999999999996,-16.0022720306361,-0.9762720306361032
IS,ETHUSDT,4.0,145,0.19310344827586207,0.8067176100759438,0.962676504014665,0.4385391674033205,-15.973,-8.1678019536471,7.805198046352901
IS,LINKUSDT,4.0,146,0.4383561643835616,0.805261317420241,0.914635098047229,0.3726226133633222,96.4006,68.51400517210743,-27.886594827892566
IS,LTCUSDT,4.0,123,0.15447154471544716,0.7580199221186358,0.9626209635793015,0.49358596705278096,2.2396999999999934,-10.312095470761173,-12.551795470761167
IS,DOTUSDT,4.0,93,0.23655913978494625,0.7848381804323105,0.9491015050485035,0.5482945200448869,-16.188300000000005,-17.4287842465661,-1.2404842465660941
IS,PORTFOLIO,4.0,620,0.22580645161290322,0.7956776481851899,0.9538626947514945,0.3726226133633222,51.452999999999975,16.60305147049696,-34.84994852950301
IS,BTCUSDT,4.25,113,0.061946902654867256,0.8501874339765827,0.9907195755560715,0.6115199791267184,-15.025999999999996,-15.497645282550856,-0.4716452825508597
IS,ETHUSDT,4.25,145,0.15172413793103448,0.8098774148556355,0.9711538146677516,0.46594786536602806,-15.973,-7.695429776160651,8.27757022383935
IS,LINKUSDT,4.25,146,0.3287671232876712,0.7971728234668541,0.933317092646637,0.39591152669852986,96.4006,71.71153731688312,-24.689062683116873
IS,LTCUSDT,4.25,123,0.15447154471544716,0.8053961672510506,0.9699392453477232,0.5244350899935798,2.2396999999999934,-10.22806393768375,-12.467763937683744
IS,DOTUSDT,4.25,93,0.1935483870967742,0.7880012856078463,0.958967990762809,0.5825629275476923,-16.188300000000005,-17.474530810366627,-1.2862308103666216
IS,PORTFOLIO,4.25,620,0.18387096774193548,0.8028022895594759,0.963741066144807,0.39591152669852986,51.452999999999975,20.815867510121222,-30.637132489878752
IS,BTCUSDT,4.5,113,0.02654867256637168,0.7251011777202566,0.9927018011784138,0.6474917426047607,-15.025999999999996,-15.176234335106201,-0.1502343351062052
