symbol,feature,bot_tercile_fwd,top_tercile_fwd,separation
BCHUSDT,funding_sign_persist_9,0.008563431821948806,-0.002789338810312953,-0.011352770632261758
BCHUSDT,funding_momentum_3,0.0008399853722092671,0.010079277089891866,0.0092392917176826
BCHUSDT,funding_accel_3,0.006717616074600155,0.005719423341204783,-0.0009981927333953724
BCHUSDT,funding_price_divergence_6,-0.007357568902709582,0.007188983743144092,0.014546552645853673
LDOUSDT,funding_sign_persist_9,-0.0036849481024866194,-0.01092471422602958,-0.007239766123542961
LDOUSDT,funding_momentum_3,-0.005126646743351896,-0.009258621577923239,-0.004131974834571343
LDOUSDT,funding_accel_3,0.006093302167322418,-0.008427428730676685,-0.014520730897999103
LDOUSDT,funding_price_divergence_6,0.000559865448192122,0.0030268415756090393,0.0024669761274169174
TRXUSDT,funding_sign_persist_9,0.012191846074511575,0.013843447415833994,0.001651601341322419
TRXUSDT,funding_momentum_3,0.008629054504937365,0.008591359722170839,-3.769478276652652e-05
TRXUSDT,funding_accel_3,0.00991049643373791,0.008552870403508939,-0.001357626030228971
TRXUSDT,funding_price_divergence_6,0.0049675684717037745,0.010781229947859159,0.005813661476155385
