date,pnl_pct,trade_count
2025-03-31,-1.7291,1
2025-04-18,0.4815,1
2025-04-21,-1.5558,1
2025-04-26,-0.5406,1
2025-05-01,-0.5327,1
2025-05-18,-0.2794,1
2025-05-26,0.0537,1
2025-05-30,-0.5537,1
2025-06-05,-0.5967,1
2025-06-13,-0.5384,1
2025-06-30,1.0462,1
2025-07-01,-0.4005,1
2025-07-10,0.7107,1
2025-07-18,-0.5655,1
2025-07-30,0.7676,1
2025-08-04,-0.6610,1
2025-08-08,-0.7130,1
2025-08-25,-0.6451,1
2025-09-11,1.3257,1
2025-09-13,-1.2909,1
2025-09-19,-0.4430,1
2025-09-22,0.8313,1
2025-10-01,-0.4824,1
2025-10-09,-0.5857,1
2025-10-25,0.6588,1
2025-10-27,-0.4838,1
2025-11-03,1.3310,1
2025-11-07,1.9150,1
2025-11-14,-1.1375,1
2025-11-17,-1.0258,1
2025-11-20,-0.9284,1
2025-12-01,-0.4943,1
2025-12-09,-0.4586,1
2025-12-11,-0.5050,1
2025-12-14,-0.5347,1
2025-12-17,-0.5457,1
2026-01-03,0.7034,1
2026-01-06,-0.3516,1
2026-01-13,0.8120,1
2026-01-19,-0.7178,1
2026-01-28,0.0982,1
2026-01-29,-0.4836,1
2026-01-31,-0.6103,1
2026-02-05,-0.8290,1
2026-02-17,-0.5423,1
2026-02-25,-0.5616,1
2026-03-04,-0.5931,1
2026-03-16,0.8041,1
2026-03-18,-0.3920,1
2026-03-26,-0.0703,1
2026-03-29,-0.3942,1
2026-04-07,0.0964,1
2026-04-12,-0.3392,1
2026-04-21,0.0689,1
2026-04-29,0.0205,1
2026-05-07,0.2708,1
2026-05-10,0.6141,1
2026-05-17,0.7422,1
2026-05-22,-0.4413,1
2026-05-28,-0.4334,1
2026-06-01,-0.2890,1
