symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time
MKRUSDT,1,1414.200000,1339.299738,0.3700,1743091199999,1743263999999,stop_loss,-5.2963,0.1000,-5.3963,-1.9966,1339.299738,1564.000524,1743695999999
MKRUSDT,1,1262.000000,1180.546311,0.5400,1743407999999,1743983999999,stop_loss,-6.4543,0.1000,-6.5543,-3.5393,1180.546311,1424.907377,1744012799999
BCHUSDT,-1,303.870000,272.304630,0.3300,1743667199999,1743983999999,take_profit,10.3878,0.1000,10.2878,3.3950,319.652685,272.304630,1744271999999
BCHUSDT,-1,279.710000,298.124184,0.5500,1744127999999,1744243199999,stop_loss,-6.5833,0.1000,-6.6833,-3.6758,298.124184,242.881632,1744732799999
BCHUSDT,-1,309.950000,329.768253,0.6500,1744387199999,1744473599999,stop_loss,-6.3940,0.1000,-6.4940,-4.2211,329.768253,270.313493,1744991999999
TRXUSDT,-1,0.251510,0.258604,0.3600,1744559999999,1744617599999,stop_loss,-2.8206,0.1000,-2.9206,-1.0514,0.258604,0.237322,1745164799999
BCHUSDT,-1,342.580000,340.490000,0.7800,1744617599999,1745222400000,timeout,0.6101,0.1000,0.5101,0.3979,364.385676,298.968648,1745222399999
BCHUSDT,-1,362.050000,378.597714,0.0000,1745366399999,1745596799999,stop_loss,-4.5706,0.1000,-4.6706,0.0000,378.597714,328.954572,1745971199999
BCHUSDT,-1,371.240000,359.390000,0.5300,1745913599999,1746518400000,timeout,3.1920,0.1000,3.0920,1.6388,389.129535,335.460931,1746518399999
MKRUSDT,-1,1771.200000,1859.917732,0.7300,1746863999999,1746921599999,stop_loss,-5.0089,0.1000,-5.1089,-3.7295,1859.917732,1593.764537,1747468799999
MKRUSDT,-1,1791.500000,1891.292121,0.8200,1747094399999,1747180799999,stop_loss,-5.5703,0.1000,-5.6703,-4.6497,1891.292121,1591.915758,1747699199999
LDOUSDT,-1,1.047100,1.124686,0.8800,1747123199999,1747180799999,stop_loss,-7.4096,0.1000,-7.5096,-6.6084,1.124686,0.891928,1747727999999
BCHUSDT,-1,420.260000,399.900000,0.7700,1746777599999,1747382400000,timeout,4.8446,0.1000,4.7446,3.6534,441.080568,378.618865,1747382399999
MKRUSDT,-1,1856.600000,1635.110415,0.9300,1747382399999,1747641599999,take_profit,11.9298,0.1000,11.8298,11.0018,1967.344793,1635.110415,1747987199999
LDOUSDT,-1,0.987600,0.898300,0.8800,1747411199999,1748016000000,timeout,9.0421,0.1000,8.9421,7.8691,1.067595,0.827609,1748015999999
MKRUSDT,-1,1724.800000,1679.500000,0.9800,1747785599999,1748390400000,timeout,2.6264,0.1000,2.5264,2.4759,1842.046451,1490.307098,1748390399999
TRXUSDT,-1,0.280710,0.287258,0.4800,1749311999999,1749369599999,stop_loss,-2.3326,0.1000,-2.4326,-1.1676,0.287258,0.267614,1749916799999
MKRUSDT,-1,1869.100000,1970.354230,0.7400,1748995199999,1749542399999,stop_loss,-5.4173,0.1000,-5.5173,-4.0828,1970.354230,1666.591540,1749599999999
