month,pnl_pct,trade_count,regime
2022-02,-0.2333,4,IS_bear_chop
2022-03,-7.7988,5,IS_bear_chop
2022-04,1.9313,2,IS_bear_chop
2022-05,-0.5614,4,IS_bear_chop
2022-07,-3.5943,3,IS_bear_chop
2022-08,-0.7065,2,IS_bear_chop
2022-09,1.0067,2,IS_bear_chop
2022-11,19.6483,6,IS_bear_chop
2023-01,-0.6653,6,IS_bear_chop
2023-02,3.8471,7,IS_bear_chop
2023-03,-3.2817,9,IS_bear_chop
2023-04,2.788,1,IS_bear_chop
2023-05,-0.9075,1,IS_bear_chop
2023-07,-0.6873,1,IS_bear_chop
2023-09,-1.6607,4,IS_bear_chop
2023-10,-6.3403,6,IS_bear_chop
2023-11,-5.3046,6,IS_bear_chop
2023-12,-0.0028,7,IS_bear_chop
2024-01,9.6896,7,IS_bull
2024-02,-3.6418,6,IS_bull
2024-03,-7.1228,6,IS_bull
2024-04,18.8942,11,IS_bull
2024-05,-0.0878,3,IS_bull
2024-06,-0.2411,3,IS_bull
2024-07,2.878,6,IS_bull
2024-08,10.6131,4,IS_bull
2024-09,-1.2184,2,IS_bull
2024-10,5.9092,7,IS_bull
2024-11,-0.7862,12,IS_bull
2024-12,-3.7894,6,IS_bull
2025-01,4.9938,2,IS_bull
2025-02,9.1283,4,IS_bull
2025-03,9.195,4,IS_bull
2025-04,3.8548,2,OOS_uptrend
2025-05,19.2911,6,OOS_uptrend
2025-06,5.3394,10,OOS_uptrend
2025-07,-9.3894,7,OOS_uptrend
2025-08,-12.5335,15,OOS_uptrend
2025-09,15.7136,7,OOS_uptrend
2025-10,-12.7296,14,OOS_uptrend
2025-11,-5.7743,9,OOS_uptrend
2025-12,-0.3098,2,OOS_uptrend
2026-01,-1.0997,5,OOS_uptrend
2026-02,-7.542,10,OOS_uptrend
2026-03,7.2517,7,OOS_uptrend
2026-04,0.0264,3,OOS_uptrend
2026-05,3.4003,5,OOS_uptrend
