regime,n_months,total_pnl_pct,mean_monthly_pnl_pct,std_monthly_pnl_pct,monthly_sharpe,pct_positive_months,n_trades
IS_bear_chop,18,-2.5231,-0.1402,5.7967,-0.0242,27.8,76
IS_bull,15,54.4137,3.6276,6.983,0.5195,53.3,83
OOS_uptrend,14,5.499,0.3928,9.7003,0.0405,50.0,102
