feature,cov_pct,sp_ic_1bar,sp_ic_3bar,q_mono,max_abs_corr,argmax_col,gain_rank,n_features,gain_pct,verdict
funding_rate_zscore_30,98.39357429718875,-0.05674561540944626,-0.07010688326759859,decr,0.25940509528444516,trend_plus_di_21,9.0,42.0,3.910223897570553,PASS (|IC|>0.04 AND top-half importance)
funding_rate_zscore_90,98.42849659507596,-0.04264826616188684,-0.043084543233954976,mixed,0.3701443585572557,trend_plus_di_21,8.0,42.0,4.145455855766286,PASS (|IC|>0.04 AND top-half importance)
basis_zscore_30,99.47616553169199,-0.024992250990677208,-0.04304863118726109,mixed,0.3391404826837516,trend_plus_di_21,18.0,42.0,2.6479612993962522,PASS (|IC|>0.04 AND top-half importance)
btc_funding_rate_8h_impulse,98.42849659507596,-0.03116602924143365,-0.036255844515901345,mixed,0.08709285286709803,mom_macd_hist_5_13_3,5.0,42.0,5.354778424996262,"WEAK (importance ok, IC<0.04)"
btc_funding_spread_30_90,97.34590536057273,-0.026003461723083435,-0.0409626619990891,mixed,0.19465260935905757,trend_aroon_osc_50,16.0,42.0,2.3881065863679827,EXCLUDED (iter-005 NEGATIVE)
oi_price_divergence_30,79.67522262964903,0.010317224118562791,0.01370024636948349,mixed,0.32890589206404985,trend_supertrend_7_3,9.0,42.0,3.4492111535727967,"WEAK (importance ok, IC<0.04)"
btc_oi_delta_5_z30,84.75641697223678,0.004612465597409725,-0.017593292675181452,mixed,0.17519477334805814,mr_pct_from_high_10,14.0,42.0,2.9355036516512696,"WEAK (importance ok, IC<0.04)"
oi_delta_30_z90,79.69268377859264,0.0015286089333953197,-0.005205592079342501,mixed,0.20523173079582563,mr_pct_from_high_10,8.0,42.0,3.644256176904515,"WEAK (importance ok, IC<0.04)"
long_short_zscore_30,73.24951981840405,-0.00033497687073575895,-0.0034581372588157995,mixed,0.24241653045334807,trend_plus_di_21,13.0,42.0,2.858895821068325,"WEAK (importance ok, IC<0.04)"
dot_vs_btc_ret_ratio_30,0.0,,,,,NA,,,,UNAVAILABLE (no IS coverage)
eth_vs_btc_ret_ratio_30,0.0,,,,,NA,,,,UNAVAILABLE (no IS coverage)
ltc_vs_btc_ret_ratio_30,0.0,,,,,NA,,,,UNAVAILABLE (no IS coverage)
