combo,dir_acc,d_acc,oof_r2,d_r2
funding_rate_zscore_30,0.5126970227670753,0.005910683012259166,-0.08987957028531174,0.005043372051680095
funding_rate_zscore_90,0.5172942206654991,0.010507880910682998,-0.08473444520640244,0.010188497130589391
btc_funding_rate_8h_impulse,0.5142294220665499,0.00744308231173374,-0.08737042813653922,0.007552514200452609
oi_delta_30_z90,0.5126970227670753,0.005910683012259166,-0.0822925509360437,0.012630391400948127
btc_oi_delta_5_z30,0.5186077057793345,0.011821366024518332,-0.08830728462645887,0.006615657710532963
oi_price_divergence_30,0.5111646234676007,0.004378283712784592,-0.08379030865900011,0.011132633677991721
basis_zscore_30,0.5030647985989491,-0.003721541155866981,-0.08808175651497485,0.006841185822016982
long_short_zscore_30,0.5109457092819615,0.004159369527145351,-0.08893057232934953,0.0059923700076423
funding_rate_zscore_90+oi_price_divergence_30,0.5161996497373029,0.009413309982486795,-0.08633080512862062,0.008592137208371209
funding_rate_zscore_30+funding_rate_zscore_90,0.5159807355516637,0.009194395796847554,-0.09055725140247006,0.004365690934521771
