,funding_rate_zscore_30,funding_rate_zscore_90,btc_funding_rate_8h_impulse,oi_delta_30_z90,btc_oi_delta_5_z30,oi_price_divergence_30,basis_zscore_30,long_short_zscore_30
funding_rate_zscore_30,1.0,0.7803202490963937,0.5067295814482905,0.11834840668750773,0.059796800332552996,0.0455574557686602,0.3101352250051148,0.25254629942750373
funding_rate_zscore_90,0.7803202490963937,1.0,0.4911121743133389,0.0946425522703031,0.033575926283710616,0.09107758282078574,0.281600152613793,0.2707633730589448
btc_funding_rate_8h_impulse,0.5067295814482905,0.4911121743133389,1.0,0.011496090125218917,0.03351806780554711,0.0030265429081783512,0.06513623615229058,0.07544567297211184
oi_delta_30_z90,0.11834840668750773,0.0946425522703031,0.011496090125218917,0.9999999999999996,0.2822236612523097,0.3919590238293709,0.12190126780690483,0.05607232071915463
btc_oi_delta_5_z30,0.059796800332552996,0.033575926283710616,0.03351806780554711,0.2822236612523097,1.0,0.06714877923113857,0.0378406208047101,0.02950359817534993
oi_price_divergence_30,0.0455574557686602,0.09107758282078574,0.0030265429081783512,0.3919590238293709,0.06714877923113857,0.9999999999999997,0.083829960463084,0.08486552404452731
basis_zscore_30,0.3101352250051148,0.281600152613793,0.06513623615229058,0.12190126780690483,0.0378406208047101,0.083829960463084,1.0,0.23303194334475943
long_short_zscore_30,0.25254629942750373,0.2707633730589448,0.07544567297211184,0.05607232071915463,0.02950359817534993,0.08486552404452731,0.23303194334475943,0.9999999999999999
