feature_name,mean_gain,importance_rank
trend_plus_di_14,3723.1205,1
oi_delta_30_z90,3152.4785,2
trend_adx_14,3012.4154,3
mr_pct_from_low_20,2473.6673,4
stat_return_5,2042.1135,5
stat_log_return_1,1753.3976,6
long_short_zscore_30,1652.5991,7
funding_rate_zscore_30,1603.6282,8
cal_hour_norm,1540.9216,9
vol_cmf_14,1482.6852,10
regime_momentum_signed_5d,1330.9578,11
interact_rsi_x_natr,1126.5683,12
interact_stoch_x_adx,918.9231,13
trend_supertrend_14_3,912.5434,14
eth_vs_btc_ret_ratio_30,821.0681,15
vol_atr_14,784.1904,16
mom_willr_14,634.9457,17
trend_aroon_osc_50,598.5028,18
mom_stoch_k_14,580.8845,19
dot_vs_btc_ret_ratio_30,452.4744,20
trend_ema_cross_5_12,406.1092,21
vol_bb_bandwidth_20,382.0641,22
interact_ret1_x_ret3,313.7678,23
stat_skew_20,288.2805,24
interact_ret1_x_natr,286.1518,25
mom_macd_line_12_26_9,251.03,26
trend_aroon_osc_14,200.3752,27
mom_roc_10,196.3269,28
interact_rsi_x_adx,179.83,29
trend_minus_di_14,167.788,30
mr_rsi_extreme_14,157.2176,31
mom_stoch_d_14,151.8075,32
mom_rsi_14,111.3902,33
btc_funding_spread_30_90,104.098,34
mom_macd_hist_12_26_9,81.085,35
vol_taker_buy_ratio,76.1463,36
vol_natr_14,73.632,37
stat_kurtosis_20,66.4498,38
vol_range_spike_72,56.918,39
vol_mfi_14,55.2106,40
stat_autocorr_lag5,48.7869,41
vol_range_spike_24,39.6174,42
funding_rate_zscore_90,38.3322,43
interact_natr_x_adx,29.1796,44
cal_dow_norm,1.7495,45
mr_pct_from_high_20,0.1262,46
vol_volume_pctchg_5,0.0,47
vol_volume_rel_20,0.0,48
