month,pnl_pct,trade_count
2022-08,-17.4629,4
2022-09,0.9317,4
2022-10,0.2220,5
2022-11,-0.5145,1
2022-12,2.3718,4
2023-01,-4.7252,6
2023-02,-0.2138,3
2023-03,1.9384,3
2023-04,-0.2130,5
2023-05,0.0755,5
2023-06,0.6027,1
2023-07,-0.3235,4
2023-08,-1.0205,5
2023-09,0.2760,1
2023-10,-1.0743,5
2023-11,-0.8575,1
2023-12,-3.1497,4
2024-01,7.8459,5
2024-02,1.6399,4
2024-03,-1.1787,2
2024-04,0.6331,4
2024-05,1.7996,3
2024-06,-2.5038,3
2024-07,1.3457,4
2024-08,-0.0189,5
2024-09,-1.4213,5
2024-10,-0.0798,4
2024-11,-0.4132,2
2024-12,3.5302,2
2025-01,-8.3233,4
2025-02,2.3543,5
2025-03,-1.1301,4
