signal_rank,symbol,is_incumbent,mean_fold_auc,perm_null_q95,perm_p_value,pos_folds_of_8,mean_rank_ic,SIGNAL_GO,in_proposed_universe
1,CRVUSDT,False,0.534,0.5314,0.0656,8,0.055,True,True
2,GALAUSDT,False,0.5304,0.5316,0.082,6,0.0597,False,False
3,AAVEUSDT,False,0.5234,0.5301,0.1639,6,0.0358,False,False
4,ADAUSDT,False,0.5193,0.5203,0.082,4,0.0361,False,False
5,GRTUSDT,False,0.5176,0.5377,0.2459,4,0.0424,False,False
6,ICPUSDT,False,0.5165,0.5446,0.4426,5,-0.016,False,False
7,ALGOUSDT,False,0.5117,0.537,0.3279,6,0.0163,False,False
8,THETAUSDT,False,0.5115,0.5364,0.2951,5,0.0125,False,False
9,FTMUSDT,False,0.5063,0.5352,0.3607,6,-0.0098,False,False
10,SANDUSDT,False,0.5049,0.549,0.4262,4,-0.0171,False,False
11,AVAXUSDT,False,0.5029,0.5343,0.4262,3,0.0313,False,False
12,LDOUSDT,True,0.5029,0.5541,0.4754,4,0.0236,False,False
13,BCHUSDT,True,0.4949,0.5209,0.7213,3,-0.0515,False,False
14,RUNEUSDT,False,0.4923,0.5419,0.7213,4,-0.0143,False,False
15,TRXUSDT,True,0.491,0.5483,0.7541,4,-0.0263,False,False
16,AXSUSDT,False,0.4904,0.5313,0.623,3,0.0253,False,False
17,FILUSDT,False,0.4859,0.536,0.7541,4,-0.0001,False,False
18,VETUSDT,False,0.4818,0.5336,0.8689,3,-0.047,False,False
19,HBARUSDT,False,0.4724,0.5452,0.8689,3,-0.0271,False,False
20,MANAUSDT,False,0.4648,0.5404,0.9508,3,-0.0801,False,False
21,ATOMUSDT,False,0.462,0.5351,0.9344,2,-0.0606,False,False
