symbol,n_gated,gated_hit_rate,hit_minus_50,binom_p_vs_random,mean_gated_bet_pnl,is_incumbent
GALAUSDT,1796,0.5367,0.0367,0.001,-1.0771,False
GRTUSDT,2184,0.5234,0.0234,0.0153,0.7385,False
AAVEUSDT,2280,0.5202,0.0202,0.0283,0.6424,False
FTMUSDT,2208,0.5149,0.0149,0.0833,-0.2645,False
BCHUSDT,2698,0.5133,0.0133,0.0858,0.0854,True
CRVUSDT,2349,0.504,0.004,0.3552,-0.6399,False
FILUSDT,2276,0.5004,0.0004,0.4916,-0.0339,False
AVAXUSDT,2315,0.4998,-0.0002,0.5166,0.1636,False
ALGOUSDT,2459,0.4945,-0.0055,0.7138,-0.608,False
THETAUSDT,2486,0.4936,-0.0064,0.746,-0.607,False
ADAUSDT,2654,0.4925,-0.0075,0.7869,-0.4644,False
AXSUSDT,2232,0.4879,-0.0121,0.8778,-0.6184,False
SANDUSDT,2132,0.4841,-0.0159,0.9325,-1.5735,False
MANAUSDT,2060,0.4806,-0.0194,0.9629,-1.01,False
RUNEUSDT,2342,0.4778,-0.0222,0.985,-0.147,False
VETUSDT,2626,0.4745,-0.0255,0.9958,-1.8552,False
TRXUSDT,2670,0.4742,-0.0258,0.9964,-0.475,True
HBARUSDT,2054,0.4737,-0.0263,0.9919,-1.4715,False
LDOUSDT,1268,0.4732,-0.0268,0.9737,-0.2699,True
ICPUSDT,1838,0.4728,-0.0272,0.9908,-2.2474,False
ATOMUSDT,2646,0.4615,-0.0385,1.0,-0.7161,False
