universe,symbols,n_trades,win_rate,total_pnl,profit_factor,monthly_sharpe_proxy,n_months
incumbent_BCH_LDO_TRX,BCH+LDO+TRX,6642,0.4118,-1294.309,0.93,-0.2659,50
proposed_top5,GALA+CRV+AAVE+GRT+ADA,11283,0.4861,1393.677,1.0251,0.1183,49
proposed_top6,GALA+CRV+AAVE+GRT+ADA+FTM,13493,0.4885,277.556,1.0039,0.0264,49
top5_minus_GALA,CRV+AAVE+GRT+ADA,9491,0.4774,2196.541,1.0501,0.2527,49
top5_minus_CRV,GALA+AAVE+GRT+ADA,8929,0.4761,641.163,1.0154,0.0679,49
top5_minus_AAVE,GALA+CRV+GRT+ADA,8995,0.5174,1006.797,1.0205,0.0836,49
top5_minus_GRT,GALA+CRV+AAVE+ADA,9091,0.4822,1257.534,1.0288,0.1177,49
top5_minus_ADA,GALA+CRV+AAVE+GRT,8626,0.4776,472.675,1.0109,0.0463,44
