symbol,n_trades,win_rate,wr_minus_breakeven,total_pnl,mean_pnl,profit_factor,per_trade_sharpe,is_incumbent
LDOUSDT,1264,0.5,0.1667,1075.421,0.8508,1.1785,0.0641,True
ADAUSDT,2657,0.5137,0.1804,921.003,0.3466,1.0768,0.0256,False
CRVUSDT,2354,0.5242,0.1909,752.515,0.3197,1.0549,0.0185,False
AAVEUSDT,2288,0.3632,0.0299,386.88,0.1691,1.0611,0.0236,False
AVAXUSDT,2321,0.4567,0.1234,304.856,0.1313,1.0278,0.0109,False
RUNEUSDT,2354,0.4911,0.1577,233.676,0.0993,1.0154,0.0053,False
GRTUSDT,2192,0.5023,0.1689,136.143,0.0621,1.0115,0.0042,False
THETAUSDT,2497,0.5106,0.1773,25.486,0.0102,1.002,0.0007,False
BCHUSDT,2705,0.3017,-0.0317,-555.165,-0.2052,0.8229,-0.0788,True
FILUSDT,2272,0.4824,0.1491,-565.622,-0.249,0.9486,-0.0197,False
AXSUSDT,2241,0.4703,0.137,-780.909,-0.3485,0.9288,-0.0281,False
GALAUSDT,1792,0.5324,0.199,-802.863,-0.448,0.9309,-0.023,False
ALGOUSDT,2466,0.5004,0.1671,-1023.89,-0.4152,0.9138,-0.0331,False
FTMUSDT,2210,0.5009,0.1676,-1116.121,-0.505,0.9271,-0.0281,False
TRXUSDT,2673,0.4815,0.1481,-1814.566,-0.6788,0.8055,-0.0663,True
ATOMUSDT,2657,0.461,0.1277,-2375.251,-0.894,0.829,-0.069,False
SANDUSDT,2128,0.4836,0.1502,-2644.748,-1.2428,0.7776,-0.0859,False
ICPUSDT,1842,0.5033,0.1699,-2938.958,-1.5955,0.7373,-0.1031,False
HBARUSDT,2064,0.4695,0.1361,-3139.307,-1.521,0.7254,-0.0911,False
MANAUSDT,2066,0.4535,0.1202,-3190.494,-1.5443,0.7151,-0.1178,False
VETUSDT,2625,0.4682,0.1349,-4888.322,-1.8622,0.7039,-0.1215,False
