symbol,is_incumbent,mean_fold_auc,perm_null_q50,perm_null_q95,perm_p_value,pos_folds_of_8,SIGNAL_GO,auc_margin_over_q95,auc_margin_over_q50
CRVUSDT,False,0.534,0.495,0.5314,0.0656,8,True,0.0026,0.039
AAVEUSDT,False,0.5234,0.4978,0.5301,0.1639,6,False,-0.0067,0.0256
ADAUSDT,False,0.5193,0.502,0.5203,0.082,4,False,-0.001,0.0173
GRTUSDT,False,0.5176,0.5021,0.5377,0.2459,4,False,-0.0201,0.0155
LDOUSDT,True,0.5029,0.499,0.5541,0.4754,4,False,-0.0512,0.0039
BCHUSDT,True,0.4949,0.5007,0.5209,0.7213,3,False,-0.026,-0.0058
TRXUSDT,True,0.491,0.5001,0.5483,0.7541,4,False,-0.0573,-0.0091
