symbol,is_candles,n_folds,pooled_auc,mean_fold_auc,std_fold_auc,obs_auc_seed42,mean_rank_ic,pos_folds_of_8,perm_null_mean,perm_null_q05,perm_null_q50,perm_null_q95,perm_p_value,above_perm_q95,perm_p_lt_010,fold_stable,SIGNAL_GO,is_incumbent
CRVUSDT,4894,8,0.506,0.534,0.0184,0.534,0.055,8,0.498,0.4643,0.495,0.5314,0.0656,True,True,True,True,False
GALAUSDT,3748,8,0.5295,0.5304,0.0776,0.5304,0.0597,6,0.4936,0.4557,0.4908,0.5316,0.082,False,True,True,False,False
AAVEUSDT,4759,8,0.5206,0.5234,0.065,0.5234,0.0358,6,0.4982,0.4653,0.4978,0.5301,0.1639,False,False,True,False,False
ADAUSDT,5535,8,0.4926,0.5193,0.0568,0.5193,0.0361,4,0.4977,0.4722,0.502,0.5203,0.082,False,True,False,False,False
GRTUSDT,4552,8,0.5175,0.5176,0.0999,0.5176,0.0424,4,0.5018,0.4592,0.5021,0.5377,0.2459,False,False,False,False,False
ICPUSDT,3832,8,0.4699,0.5165,0.0504,0.5165,-0.016,5,0.508,0.4611,0.5115,0.5446,0.4426,False,False,True,False,False
ALGOUSDT,5124,8,0.4915,0.5117,0.1059,0.5117,0.0163,6,0.5004,0.4658,0.4987,0.537,0.3279,False,False,True,False,False
THETAUSDT,5184,8,0.4874,0.5115,0.0575,0.5115,0.0125,5,0.5004,0.4697,0.4995,0.5364,0.2951,False,False,True,False,False
FTMUSDT,4601,8,0.5181,0.5063,0.0664,0.5063,-0.0098,6,0.5004,0.4674,0.5018,0.5352,0.3607,False,False,True,False,False
SANDUSDT,4441,8,0.484,0.5049,0.0856,0.5049,-0.0171,4,0.4977,0.4397,0.4998,0.549,0.4262,False,False,False,False,False
AVAXUSDT,4828,8,0.5006,0.5029,0.0703,0.5029,0.0313,3,0.4979,0.4645,0.4974,0.5343,0.4262,False,False,False,False,False
LDOUSDT,2640,8,0.4761,0.5029,0.0728,0.5029,0.0236,4,0.5017,0.4541,0.499,0.5541,0.4754,False,False,False,False,True
BCHUSDT,5626,8,0.5157,0.4949,0.0545,0.4949,-0.0515,3,0.5023,0.4813,0.5007,0.5209,0.7213,False,False,False,False,True
RUNEUSDT,4885,8,0.4773,0.4923,0.0987,0.4923,-0.0143,4,0.5035,0.4507,0.5055,0.5419,0.7213,False,False,False,False,False
TRXUSDT,5568,8,0.4721,0.491,0.056,0.491,-0.0263,4,0.5041,0.4685,0.5001,0.5483,0.7541,False,False,False,False,True
AXSUSDT,4654,8,0.495,0.4904,0.0752,0.4904,0.0253,3,0.4979,0.462,0.4995,0.5313,0.623,False,False,False,False,False
FILUSDT,4744,8,0.4904,0.4859,0.0732,0.4859,-0.0001,4,0.5019,0.4584,0.5,0.536,0.7541,False,False,False,False,False
VETUSDT,5478,8,0.478,0.4818,0.0539,0.4818,-0.047,3,0.5016,0.4739,0.5037,0.5336,0.8689,False,False,False,False,False
HBARUSDT,4288,8,0.4681,0.4724,0.0754,0.4724,-0.0271,3,0.5008,0.4644,0.4988,0.5452,0.8689,False,False,False,False,False
MANAUSDT,4294,8,0.4676,0.4648,0.0586,0.4648,-0.0801,3,0.4993,0.4651,0.4981,0.5404,0.9508,False,False,False,False,False
ATOMUSDT,5514,8,0.4649,0.462,0.061,0.462,-0.0606,2,0.4976,0.4591,0.4988,0.5351,0.9344,False,False,False,False,False
