symbol,n_is_bars,first_is_ts,first_is_date,last_is_ts,last_is_date,training_complete_date,is_months_evaluable,is_gate_pass
ATOMUSDT,5615,1581091199999,2020-02-07,1742774399999,2025-03-23,2022-02-07,37,True
RUNEUSDT,4986,1599206399999,2020-09-04,1742774399999,2025-03-23,2022-09-04,30,True
UNIUSDT,4944,1600415999999,2020-09-18,1742774399999,2025-03-23,2022-09-18,30,True
BCHUSDT,5727,1577865599999,2020-01-01,1742774399999,2025-03-23,2022-01-01,38,True
LDOUSDT,2741,1663862399999,2022-09-22,1742774399999,2025-03-23,2024-09-22,6,False
TRXUSDT,5669,1579103999999,2020-01-15,1742774399999,2025-03-23,2022-01-15,38,True
