feature_name,mean_gain,importance_rank
trend_aroon_osc_50,6627.414,1
stat_autocorr_lag5,5478.0255,2
vol_atr_14,4678.1196,3
interact_natr_x_adx,3699.291,4
oi_delta_30_z90,3554.8682,5
stat_kurtosis_20,3003.4209,6
stat_skew_20,2916.5119,7
trend_adx_14,2085.9411,8
btc_funding_spread_30_90,1753.8491,9
mom_macd_line_12_26_9,1723.6644,10
vol_natr_14,1716.3606,11
long_short_zscore_30,1661.3994,12
ltc_vs_btc_ret_ratio_30,1487.5893,13
trend_plus_di_14,1438.2368,14
vol_bb_bandwidth_20,1304.3531,15
mr_pct_from_high_20,1121.669,16
vol_cmf_14,1092.4621,17
trend_minus_di_14,1041.1432,18
mr_pct_from_low_20,986.6098,19
mom_macd_hist_12_26_9,879.6197,20
funding_rate_zscore_90,679.2225,21
vol_mfi_14,666.878,22
trend_supertrend_14_3,637.7193,23
interact_rsi_x_adx,620.5249,24
trend_aroon_osc_14,507.0386,25
funding_rate_zscore_30,497.7749,26
mom_stoch_k_14,350.3977,27
mom_willr_14,328.8034,28
mom_stoch_d_14,301.7552,29
trend_ema_cross_5_12,275.9455,30
interact_stoch_x_adx,229.8031,31
mom_rsi_14,217.8739,32
regime_momentum_signed_5d,195.9859,33
cal_dow_norm,164.8476,34
interact_rsi_x_natr,157.7591,35
mom_roc_10,149.1509,36
vol_range_spike_72,140.0397,37
stat_return_5,129.3196,38
vol_volume_rel_20,104.3027,39
vol_taker_buy_ratio,63.5683,40
vol_volume_pctchg_5,59.6237,41
stat_log_return_1,51.6846,42
interact_ret1_x_natr,49.1079,43
interact_ret1_x_ret3,46.5741,44
vol_range_spike_24,43.7168,45
cal_hour_norm,0.3005,46
mr_rsi_extreme_14,0.1126,47
dot_vs_btc_ret_ratio_30,0.0,48
eth_vs_btc_ret_ratio_30,0.0,49
