symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
LTCUSDT,1,147.970000,139.378956,1.0000,1641023999999,1641427199999,stop_loss,-5.8059,0.1000,-5.9059,-5.9059,139.378956,165.152089,1641628799999,0.730308
LTCUSDT,1,135.880000,127.216815,1.0000,1641513599999,1641542399999,stop_loss,-6.3756,0.1000,-6.4756,-6.4756,127.216815,153.206371,1642118399999,0.652205
LTCUSDT,1,132.860000,123.438712,1.0000,1641628799999,1641830399999,stop_loss,-7.0911,0.1000,-7.1911,-7.1911,123.438712,151.702576,1642233599999,0.684696
LTCUSDT,1,136.200000,126.178106,1.0000,1642636799999,1642751999999,stop_loss,-7.3582,0.1000,-7.4582,-7.4582,126.178106,156.243788,1643241599999,0.670739
LTCUSDT,1,109.480000,109.430000,1.0000,1643068799999,1643673600000,timeout,-0.0457,0.1000,-0.1457,-0.1457,94.887938,138.664124,1643673599999,0.736184
LTCUSDT,-1,115.030000,123.132047,1.0000,1643759999999,1644076799999,stop_loss,-7.0434,0.1000,-7.1434,-7.1434,123.132047,98.825907,1644364799999,0.824392
LTCUSDT,-1,126.160000,110.240000,0.3300,1644739199999,1645344000000,timeout,12.6189,0.1000,12.5189,4.1312,135.285546,107.908909,1645343999999,0.853642
LTCUSDT,-1,113.270000,97.515045,0.3300,1645430399999,1645689599999,take_profit,13.9092,0.1000,13.8092,4.5570,121.147478,97.515045,1646035199999,0.932791
LTCUSDT,-1,103.220000,113.824809,0.3300,1645775999999,1646121599999,stop_loss,-10.2740,0.1000,-10.3740,-3.4234,113.824809,82.010382,1646380799999,0.825132
LTCUSDT,-1,111.940000,106.300000,0.3300,1646207999999,1646812800000,timeout,5.0384,0.1000,4.9384,1.6297,121.850774,92.118452,1646812799999,0.878559
LTCUSDT,-1,106.700000,112.800000,0.3300,1647071999999,1647676800000,timeout,-5.7170,0.1000,-5.8170,-1.9196,113.821513,92.456973,1647676799999,0.731053
LTCUSDT,1,115.400000,126.724541,0.3300,1647763199999,1648166399999,take_profit,9.8133,0.1000,9.7133,3.2054,109.737730,126.724541,1648367999999,0.824317
LTCUSDT,1,123.850000,124.830000,0.3300,1648252799999,1648944000000,timeout,0.7913,0.1000,0.6913,0.2281,117.456175,136.637651,1648857599999,0.745749
LTCUSDT,1,128.770000,121.695778,0.3300,1649030399999,1649116799999,stop_loss,-5.4937,0.1000,-5.5937,-1.8459,121.695778,142.918443,1649635199999,0.835691
LTCUSDT,1,113.210000,105.604452,0.3300,1649318399999,1649692799999,stop_loss,-6.7181,0.1000,-6.8181,-2.2500,105.604452,128.421097,1649923199999,0.887026
LTCUSDT,1,104.780000,113.770000,0.3300,1649807999999,1650412800000,timeout,8.5799,0.1000,8.4799,2.7984,98.929713,116.480575,1650412799999,0.855395
LTCUSDT,1,112.950000,107.618370,0.3300,1650556799999,1650585599999,stop_loss,-4.7203,0.1000,-4.8203,-1.5907,107.618370,123.613259,1651161599999,0.852696
LTCUSDT,1,106.760000,101.224969,0.3300,1650700799999,1650873599999,stop_loss,-5.1846,0.1000,-5.2846,-1.7439,101.224969,117.830062,1651305599999,0.842305
LTCUSDT,1,95.720000,94.220000,0.3300,1651363199999,1651968000000,timeout,-1.5671,0.1000,-1.6671,-0.5501,89.967792,107.224416,1651967999999,0.947029
LTCUSDT,1,90.890000,84.865501,0.3300,1652083199999,1652111999999,stop_loss,-6.6283,0.1000,-6.7283,-2.2204,84.865501,102.938998,1652687999999,0.763959
LTCUSDT,1,65.930000,68.180000,0.3300,1652918399999,1653523200000,timeout,3.4127,0.1000,3.3127,1.0932,57.675022,82.439957,1653523199999,0.754420
LTCUSDT,1,62.430000,61.800000,0.3300,1653667199999,1654272000000,timeout,-1.0091,0.1000,-1.1091,-0.3660,57.216068,72.857864,1654271999999,0.747723
LTCUSDT,-1,63.300000,55.765097,0.3300,1654358399999,1654905599999,take_profit,11.9035,0.1000,11.8035,3.8951,67.067452,55.765097,1654963199999,0.868722
LTCUSDT,-1,53.120000,59.365562,0.3300,1655798399999,1656201599999,stop_loss,-11.7575,0.1000,-11.8575,-3.9130,59.365562,40.628877,1656403199999,0.799127
LTCUSDT,-1,58.260000,49.880000,1.0000,1656316799999,1656921600000,timeout,14.3838,0.1000,14.2838,14.2838,63.223657,48.332686,1656921599999,0.746147
LTCUSDT,-1,51.840000,48.260000,0.3300,1657007999999,1657612800000,timeout,6.9059,0.1000,6.8059,2.2459,55.391410,44.737180,1657612799999,0.750808
LTCUSDT,-1,48.820000,52.094261,0.3300,1657699199999,1657900799999,stop_loss,-6.7068,0.1000,-6.8068,-2.2462,52.094261,42.271477,1658303999999,0.905562
LTCUSDT,-1,55.060000,58.407843,0.3300,1658015999999,1658131199999,stop_loss,-6.0804,0.1000,-6.1804,-2.0395,58.407843,48.364314,1658620799999,0.834318
LTCUSDT,-1,56.460000,60.589625,0.3300,1658217599999,1658332799999,stop_loss,-7.3142,0.1000,-7.4142,-2.4467,60.589625,48.200749,1658822399999,0.818777
LTCUSDT,-1,60.610000,62.460000,0.3300,1659139199999,1659744000000,timeout,-3.0523,0.1000,-3.1523,-1.0403,64.979947,51.870105,1659743999999,0.913735
LTCUSDT,1,60.800000,57.397067,0.3300,1659830399999,1660118399999,stop_loss,-5.5969,0.1000,-5.6969,-1.8800,57.397067,67.605866,1660435199999,0.832137
LTCUSDT,1,61.660000,57.782926,0.3300,1660579199999,1660895999999,stop_loss,-6.2878,0.1000,-6.3878,-2.1080,57.782926,69.414148,1661183999999,0.723062
LTCUSDT,1,54.320000,61.786007,0.3300,1661759999999,1662134399999,take_profit,13.7445,0.1000,13.6445,4.5027,50.586997,61.786007,1662364799999,0.744745
LTCUSDT,-1,60.720000,64.606324,1.0000,1662998399999,1663084799999,stop_loss,-6.4004,0.1000,-6.5004,-6.5004,64.606324,52.947351,1663603199999,0.896812
LTCUSDT,-1,55.730000,52.270000,0.3300,1663343999999,1663948800000,timeout,6.2085,0.1000,6.1085,2.0158,60.064120,47.061760,1663948799999,0.845304
LTCUSDT,1,54.430000,51.434202,1.0000,1664553599999,1664783999999,stop_loss,-5.5039,0.1000,-5.6039,-5.6039,51.434202,60.421595,1665158399999,0.895906
LTCUSDT,1,54.400000,52.181531,1.0000,1665043199999,1665475199999,stop_loss,-4.0781,0.1000,-4.1781,-4.1781,52.181531,58.836937,1665647999999,0.729382
LTCUSDT,1,52.460000,50.593777,0.3300,1665561599999,1665647999999,stop_loss,-3.5574,0.1000,-3.6574,-1.2069,50.593777,56.192447,1666166399999,0.794182
LTCUSDT,-1,56.140000,58.236442,0.3300,1666857599999,1667404799999,stop_loss,-3.7343,0.1000,-3.8343,-1.2653,58.236442,51.947116,1667462399999,0.798053
LTCUSDT,-1,78.380000,76.880000,1.0000,1669449599999,1670054400000,timeout,1.9138,0.1000,1.8138,1.8138,85.752435,63.635131,1670054399999,0.803481
LTCUSDT,1,76.390000,77.460000,1.0000,1670140799999,1670745600000,timeout,1.4007,0.1000,1.3007,1.3007,71.927490,85.315021,1670745599999,0.875603
LTCUSDT,-1,66.270000,69.403876,1.0000,1672271999999,1672502399999,stop_loss,-4.7290,0.1000,-4.8290,-4.8290,69.403876,60.002248,1672876799999,0.771519
LTCUSDT,-1,88.830000,88.000000,1.0000,1674316799999,1674921600000,timeout,0.9344,0.1000,0.8344,0.8344,94.026128,78.437743,1674921599999,0.877802
LTCUSDT,-1,93.970000,98.879434,1.0000,1675065599999,1675295999999,stop_loss,-5.2245,0.1000,-5.3245,-5.3245,98.879434,84.151132,1675670399999,0.827117
LTCUSDT,-1,100.900000,90.908393,1.0000,1675814399999,1675987199999,take_profit,9.9025,0.1000,9.8025,9.8025,105.895803,90.908393,1676419199999,0.839558
LTCUSDT,1,98.600000,92.469924,1.0000,1676591999999,1676995199999,stop_loss,-6.2171,0.1000,-6.3171,-6.3171,92.469924,110.860152,1677196799999,0.864372
LTCUSDT,-1,95.650000,88.056578,1.0000,1677599999999,1677830399999,take_profit,7.9388,0.1000,7.8388,7.8388,99.446711,88.056578,1678204799999,0.828320
LTCUSDT,1,89.900000,85.976134,0.3300,1678060799999,1678204799999,stop_loss,-4.3647,0.1000,-4.4647,-1.4734,85.976134,97.747732,1678665599999,0.642809
LTCUSDT,1,84.560000,80.295901,0.3300,1678291199999,1678406399999,stop_loss,-5.0427,0.1000,-5.1427,-1.6971,80.295901,93.088197,1678895999999,0.739340
LTCUSDT,1,81.540000,94.437469,0.3300,1679327999999,1679587199999,take_profit,15.8174,0.1000,15.7174,5.1867,75.091265,94.437469,1679932799999,0.661898
LTCUSDT,1,92.670000,93.440000,0.3300,1679731199999,1680336000000,timeout,0.8309,0.1000,0.7309,0.2412,85.231184,107.547631,1680335999999,0.714140
LTCUSDT,-1,95.010000,98.796508,0.3300,1681228799999,1681459199999,stop_loss,-3.9854,0.1000,-4.0854,-1.3482,98.796508,87.436984,1681833599999,0.800851
LTCUSDT,-1,100.110000,90.948506,0.3300,1681689599999,1681948799999,take_profit,9.1514,0.1000,9.0514,2.9870,104.690747,90.948506,1682294399999,0.808719
LTCUSDT,-1,91.040000,82.079272,1.0000,1682812799999,1683388799999,take_profit,9.8426,0.1000,9.7426,9.7426,95.520364,82.079272,1683417599999,0.799799
LTCUSDT,-1,83.820000,76.106568,0.3300,1683475199999,1683590399999,take_profit,9.2024,0.1000,9.1024,3.0038,87.676716,76.106568,1684079999999,0.809792
LTCUSDT,-1,91.040000,83.560388,1.0000,1684771199999,1685001599999,take_profit,8.2157,0.1000,8.1157,8.1157,94.779806,83.560388,1685375999999,0.761082
LTCUSDT,1,92.330000,88.378275,1.0000,1685606399999,1685980799999,stop_loss,-4.2800,0.1000,-4.3800,-4.3800,88.378275,100.233450,1686211199999,0.802838
LTCUSDT,1,88.420000,83.382032,1.0000,1686067199999,1686383999999,stop_loss,-5.6978,0.1000,-5.7978,-5.7978,83.382032,98.495935,1686671999999,0.803158
LTCUSDT,1,77.450000,72.177184,0.3300,1686614399999,1686787199999,stop_loss,-6.8080,0.1000,-6.9080,-2.2796,72.177184,87.995632,1687219199999,0.938548
LTCUSDT,-1,89.690000,95.398576,1.0000,1687651199999,1688111999999,stop_loss,-6.3648,0.1000,-6.4648,-6.4648,95.398576,78.272849,1688255999999,0.820296
LTCUSDT,1,94.500000,90.345079,1.0000,1690012799999,1690214399999,stop_loss,-4.3967,0.1000,-4.4967,-4.4967,90.345079,102.809842,1690617599999,0.826313
LTCUSDT,1,82.650000,79.082442,1.0000,1691395199999,1691452799999,stop_loss,-4.3165,0.1000,-4.4165,-4.4165,79.082442,89.785116,1691999999999,0.870665
LTCUSDT,1,65.590000,67.600000,1.0000,1692835199999,1693440000000,timeout,3.0645,0.1000,2.9645,2.9645,61.852237,73.065527,1693439999999,0.873859
LTCUSDT,1,63.840000,63.680000,1.0000,1693526399999,1694131200000,timeout,-0.2506,0.1000,-0.3506,-0.3506,60.675869,70.168262,1694131199999,0.873651
LTCUSDT,1,61.360000,59.150231,1.0000,1694419199999,1694447999999,stop_loss,-3.6013,0.1000,-3.7013,-3.7013,59.150231,65.779538,1695023999999,0.848922
LTCUSDT,1,59.940000,65.581190,1.0000,1694563199999,1694822399999,take_profit,9.4114,0.1000,9.3114,9.3114,57.119405,65.581190,1695167999999,0.897035
LTCUSDT,1,63.700000,64.590000,0.3300,1694937599999,1695542400000,timeout,1.3972,0.1000,1.2972,0.4281,60.968759,69.162481,1695542399999,0.875114
LTCUSDT,1,61.550000,64.906461,0.3300,1697270399999,1697471999999,take_profit,5.4532,0.1000,5.3532,1.7666,59.871769,64.906461,1697875199999,0.792888
LTCUSDT,-1,68.730000,70.040000,1.0000,1698278399999,1698883200000,timeout,-1.9060,0.1000,-2.0060,-2.0060,72.650760,60.888480,1698883199999,0.767335
LTCUSDT,1,69.480000,73.880000,1.0000,1698969599999,1699574400000,timeout,6.3328,0.1000,6.2328,6.2328,65.848704,76.742593,1699574399999,0.818201
LTCUSDT,1,71.140000,69.530000,1.0000,1699919999999,1700524800000,timeout,-2.2631,0.1000,-2.3631,-2.3631,66.324753,80.770493,1700524799999,0.816234
LTCUSDT,1,67.600000,70.000000,1.0000,1700639999999,1701244800000,timeout,3.5503,0.1000,3.4503,3.4503,63.502624,75.794752,1701244799999,0.853220
LTCUSDT,-1,71.830000,73.814131,1.0000,1701532799999,1701676799999,stop_loss,-2.7623,0.1000,-2.8623,-2.8623,73.814131,67.861738,1702137599999,0.775810
LTCUSDT,-1,71.880000,74.651702,0.3300,1701763199999,1701878399999,stop_loss,-3.8560,0.1000,-3.9560,-1.3055,74.651702,66.336596,1702367999999,0.766431
LTCUSDT,-1,78.330000,70.927514,0.3300,1702195199999,1702281599999,take_profit,9.4504,0.1000,9.3504,3.0856,82.031243,70.927514,1702799999999,0.834261
LTCUSDT,-1,72.220000,72.010000,0.3300,1702713599999,1703318400000,timeout,0.2908,0.1000,0.1908,0.0630,75.665897,65.328206,1703318399999,0.772351
