date,pnl_pct,trade_count
2022-01-05,-5.9059,1
2022-01-07,-6.4756,1
2022-01-10,-7.1911,1
2022-01-21,-7.4582,1
2022-02-01,-0.1457,1
2022-02-05,-7.1434,1
2022-02-20,4.1312,1
2022-02-24,4.5570,1
2022-03-01,-3.4234,1
2022-03-09,1.6297,1
2022-03-19,-1.9196,1
2022-03-24,3.2054,1
2022-04-03,0.2281,1
2022-04-04,-1.8459,1
2022-04-11,-2.2500,1
2022-04-20,2.7984,1
2022-04-21,-1.5907,1
2022-04-25,-1.7439,1
2022-05-08,-0.5501,1
2022-05-09,-2.2204,1
2022-05-26,1.0932,1
2022-06-03,-0.3660,1
2022-06-10,3.8951,1
2022-06-25,-3.9130,1
2022-07-04,14.2838,1
2022-07-12,2.2459,1
2022-07-15,-2.2462,1
2022-07-18,-2.0395,1
2022-07-20,-2.4467,1
2022-08-06,-1.0403,1
2022-08-10,-1.8800,1
2022-08-19,-2.1080,1
2022-09-02,4.5027,1
2022-09-13,-6.5004,1
2022-09-23,2.0158,1
2022-10-03,-5.6039,1
2022-10-11,-4.1781,1
2022-10-13,-1.2069,1
2022-11-02,-1.2653,1
2022-12-03,1.8138,1
2022-12-11,1.3007,1
2022-12-31,-4.8290,1
2023-01-28,0.8344,1
2023-02-01,-5.3245,1
2023-02-09,9.8025,1
2023-02-21,-6.3171,1
2023-03-03,7.8388,1
2023-03-07,-1.4734,1
2023-03-09,-1.6971,1
2023-03-23,5.1867,1
2023-04-01,0.2412,1
2023-04-14,-1.3482,1
2023-04-19,2.9870,1
2023-05-06,9.7426,1
2023-05-08,3.0038,1
2023-05-25,8.1157,1
2023-06-05,-4.3800,1
2023-06-10,-5.7978,1
2023-06-14,-2.2796,1
2023-06-30,-6.4648,1
2023-07-24,-4.4967,1
2023-08-07,-4.4165,1
2023-08-31,2.9645,1
2023-09-08,-0.3506,1
2023-09-11,-3.7013,1
2023-09-15,9.3114,1
2023-09-24,0.4281,1
2023-10-16,1.7666,1
2023-11-02,-2.0060,1
2023-11-10,6.2328,1
2023-11-21,-2.3631,1
2023-11-29,3.4503,1
2023-12-04,-2.8623,1
2023-12-06,-1.3055,1
2023-12-11,3.0856,1
2023-12-23,0.0630,1
2023-12-30,-1.5231,1
2024-01-03,-1.5814,1
2024-01-18,-0.3295,1
2024-02-01,0.3533,1
2024-02-09,1.4248,1
2024-02-25,-0.7857,1
2024-02-27,5.7493,1
2024-02-28,-1.4261,1
2024-03-27,17.9960,1
2024-04-12,-6.7122,1
2024-04-24,9.6079,1
2024-04-30,-5.4894,1
2024-05-06,-5.7487,1
2024-05-20,-3.7299,1
2024-06-18,-4.1933,1
2024-06-24,-4.9837,1
2024-07-02,4.9491,1
2024-07-15,11.7218,1
2024-07-24,0.1463,1
2024-07-29,-1.6198,1
2024-08-04,3.1615,1
2024-08-16,2.5746,1
2024-08-25,0.8100,1
2024-09-02,-0.0227,1
2024-09-13,-1.7151,1
2024-09-23,-3.3067,1
2024-09-27,-1.2020,1
2024-10-15,1.0325,1
2024-10-18,-1.4791,1
2024-10-23,2.6845,1
2024-11-07,3.1549,1
2024-11-10,-1.7193,1
2024-11-11,-1.9640,1
2024-11-23,-2.9093,1
2025-01-03,13.5622,1
2025-01-13,-6.9563,1
2025-02-23,3.1482,1
2025-03-20,2.7318,1
2025-03-26,-4.7680,1
