feature_name,mean_gain,importance_rank
vol_atr_14,3095.2895,1
trend_aroon_osc_50,2889.8281,2
stat_autocorr_lag5,2410.8801,3
btc_funding_spread_30_90,2105.8462,4
vol_bb_bandwidth_20,1789.5999,5
interact_natr_x_adx,1676.6831,6
stat_skew_20,1588.5856,7
oi_delta_30_z90,1506.0439,8
trend_adx_14,1476.895,9
mom_macd_line_12_26_9,1247.0364,10
btc_oi_delta_5_z30,1236.9246,11
stat_kurtosis_20,1047.1345,12
vol_natr_14,1012.6133,13
mom_macd_hist_12_26_9,936.9291,14
vol_cmf_14,796.4362,15
mr_pct_from_low_20,715.5578,16
trend_plus_di_14,672.2719,17
trend_aroon_osc_14,666.4487,18
long_short_zscore_30,588.1018,19
trend_minus_di_14,559.6465,20
funding_rate_zscore_90,555.656,21
interact_rsi_x_adx,553.8264,22
mr_pct_from_high_20,486.7236,23
vol_mfi_14,473.6686,24
funding_rate_zscore_30,321.6218,25
trend_ema_cross_5_12,306.6912,26
regime_momentum_signed_5d,276.1245,27
mom_stoch_d_14,225.0233,28
stat_return_5,182.8024,29
mom_willr_14,180.4642,30
mom_rsi_14,170.5773,31
interact_rsi_x_natr,161.9899,32
interact_stoch_x_adx,158.8071,33
cal_dow_norm,158.6584,34
trend_supertrend_14_3,136.0144,35
mom_roc_10,125.6502,36
mom_stoch_k_14,106.7752,37
vol_range_spike_72,96.4149,38
vol_volume_rel_20,61.9179,39
vol_volume_pctchg_5,54.3773,40
vol_range_spike_24,48.929,41
interact_ret1_x_ret3,39.1989,42
vol_taker_buy_ratio,38.1952,43
interact_ret1_x_natr,37.4756,44
stat_log_return_1,22.4551,45
cal_hour_norm,7.8709,46
mr_rsi_extreme_14,0.4936,47
dot_vs_btc_ret_ratio_30,0.0,48
eth_vs_btc_ret_ratio_30,0.0,49
