slope_lb,floor,z_lo,z_hi,overall_long_sharpe,worst_neg_sub,mean_neg_sub,mean_bull_sub,avg_mult_on_long,score
20,0.3,-0.5,0.0,2.315,-1.309,-1.051,1.261,0.72,-0.678
20,0.3,-1.0,0.0,2.258,-1.338,-1.054,1.26,0.745,-0.708
20,0.25,-0.5,0.0,2.326,-1.346,-1.063,1.247,0.7,-0.723
20,0.3,-0.5,1.0,2.401,-1.369,-1.018,1.276,0.669,-0.731
20,0.3,0.0,1.0,2.432,-1.371,-0.968,1.276,0.643,-0.733
20,0.3,-0.5,0.5,2.421,-1.386,-1.067,1.285,0.694,-0.744
20,0.3,-1.0,1.0,2.354,-1.383,-1.039,1.275,0.694,-0.746
20,0.25,-1.0,0.0,2.266,-1.372,-1.065,1.248,0.726,-0.748
20,0.3,-1.0,0.5,2.35,-1.389,-1.069,1.278,0.719,-0.75
20,0.2,-0.5,0.0,2.334,-1.378,-1.07,1.232,0.68,-0.762
30,0.3,0.0,1.0,2.45,-1.415,-0.987,1.287,0.646,-0.772
20,0.3,0.0,0.5,2.518,-1.434,-1.047,1.304,0.668,-0.782
20,0.2,-1.0,0.0,2.271,-1.4,-1.071,1.235,0.708,-0.783
20,0.25,-1.0,0.5,2.365,-1.447,-1.092,1.266,0.699,-0.814
30,0.3,-1.0,0.0,2.163,-1.431,-1.073,1.235,0.745,-0.814
30,0.3,-0.5,1.0,2.377,-1.45,-1.05,1.271,0.671,-0.814
20,0.25,-0.5,1.0,2.419,-1.446,-1.048,1.262,0.645,-0.815
30,0.3,0.0,0.5,2.527,-1.474,-1.038,1.313,0.668,-0.818
20,0.25,-1.0,1.0,2.37,-1.451,-1.065,1.262,0.672,-0.82
20,0.25,-0.5,0.5,2.441,-1.457,-1.096,1.272,0.672,-0.821
30,0.3,-1.0,1.0,2.315,-1.457,-1.058,1.267,0.696,-0.823
30,0.3,-0.5,0.0,2.211,-1.438,-1.101,1.224,0.722,-0.826
20,0.25,0.0,1.0,2.452,-1.456,-0.995,1.261,0.618,-0.826
30,0.3,-1.0,0.5,2.289,-1.469,-1.081,1.264,0.72,-0.837
30,0.3,-0.5,0.5,2.374,-1.48,-1.092,1.271,0.695,-0.845
30,0.25,-1.0,0.0,2.165,-1.48,-1.087,1.221,0.727,-0.869
30,0.25,0.0,1.0,2.471,-1.51,-1.016,1.273,0.621,-0.873
20,0.2,-1.0,0.5,2.377,-1.506,-1.113,1.254,0.679,-0.879
20,0.25,0.0,0.5,2.544,-1.528,-1.087,1.293,0.645,-0.882
30,0.25,-0.5,0.0,2.214,-1.493,-1.12,1.207,0.702,-0.889
20,0.2,-1.0,1.0,2.382,-1.525,-1.092,1.248,0.65,-0.901
20,0.2,-0.5,0.5,2.457,-1.534,-1.127,1.258,0.65,-0.905
20,0.2,-0.5,1.0,2.434,-1.533,-1.082,1.246,0.621,-0.91
30,0.25,-1.0,1.0,2.327,-1.538,-1.087,1.254,0.674,-0.911
30,0.25,-0.5,1.0,2.393,-1.541,-1.085,1.256,0.648,-0.913
30,0.25,-1.0,0.5,2.3,-1.54,-1.106,1.252,0.7,-0.914
30,0.2,-1.0,0.0,2.163,-1.523,-1.097,1.206,0.709,-0.92
30,0.25,0.0,0.5,2.554,-1.573,-1.074,1.302,0.644,-0.922
30,0.25,-0.5,0.5,2.39,-1.566,-1.126,1.257,0.673,-0.937
20,0.2,0.0,1.0,2.467,-1.559,-1.031,1.244,0.592,-0.937
30,0.2,-0.5,0.0,2.214,-1.544,-1.135,1.189,0.682,-0.949
30,0.2,-1.0,0.5,2.308,-1.613,-1.129,1.238,0.68,-0.994
30,0.2,0.0,1.0,2.487,-1.623,-1.053,1.256,0.595,-0.995
20,0.2,0.0,0.5,2.566,-1.64,-1.138,1.28,0.621,-1.0
30,0.2,-1.0,1.0,2.337,-1.626,-1.117,1.24,0.652,-1.006
30,0.2,-0.5,1.0,2.406,-1.647,-1.126,1.24,0.624,-1.027
30,0.2,-0.5,0.5,2.402,-1.659,-1.163,1.242,0.651,-1.038
30,0.2,0.0,0.5,2.577,-1.686,-1.118,1.289,0.621,-1.042
